species,readcount
ON922918,11
KP719134,994
MZ501091,14
MK672798,18
LR025197,23
LN881725,25
KJ419279,41
MN689529,1
MN689511,1
MZ501112,10
MZ501104,11
MT682705,33
KY926791,20
OL960575,15
LR025198,24
LR025195,24
LR025196,23
MF443125,1
