cache size,genome count,time (ns),memory (bytes),11,11,889553960,46704
11,22,2532277858,54792
22,22,2289895550,78504
11,33,4666271128,59676
22,33,3746417150,99804
33,33,3559685501,114956
11,44,6931654512,64720
22,44,5728903783,105508
33,44,5425461800,133268
44,44,5197502034,148972
11,55,9937905691,65196
22,55,8416070888,102244
33,55,7398351347,139768
44,55,6790643271,161636
55,55,6549309842,180224
11,66,12382439662,63768
22,66,10121184003,105272
33,66,9279079576,139788
44,66,8699309378,167120
55,66,8917407973,192692
66,66,8736137930,213672
11,77,16314289155,65440
22,77,11982549191,105408
33,77,11464256056,146216
44,77,10688299116,180752
55,77,10480187833,196312
66,77,10045018306,229176
77,77,9646294739,254164
11,88,18023566722,64580
22,88,14866288567,105636
33,88,13899735632,146960
44,88,13338955155,170032
55,88,12830397058,219592
66,88,12872860473,235364
77,88,12545583157,259988
88,88,12993517517,287172
11,99,24528445311,65644
22,99,18011741919,109176
33,99,16512407862,144128
44,99,16616847955,179256
55,99,16730714321,215920
66,99,15137882078,240012
77,99,14964452389,258148
88,99,14008346468,289904
