kmer size,theta,error rate,number of genomes,read count,time,memory,classification recall,classification precision,filter recall,filter precision,avg read count error
15,1.0,0.1,100,100000,4118194246,50428,1.0,0.7692307692307693,0.00042,1.0,4997.9
25,0.0,0.1,100,100000,90031088059,77220,0.0,0,1.0,0.500010000200004,nan
25,0.2,0.1,100,100000,7940410805,63216,1.0,0.5263157894736842,0.27922,0.9986409155937053,3606.8
25,0.4,0.1,100,100000,6638894035,62504,1.0,0.625,0.0796,0.9992467988953051,4602.8
25,0.6,0.1,100,100000,5592345980,64584,1.0,0.625,0.01722,0.9976825028968713,4914.0
25,0.8,0.1,100,100000,4526745483,50084,1.0,0.7692307692307693,0.0027,1.0,4986.5
25,1.0,0.1,100,100000,3412522519,48580,1.0,0.7692307692307693,0.00042,1.0,4997.9
45,0.0,0.1,100,100000,85162046118,72040,0.0,0,1.0,0.500010000200004,nan
45,0.2,0.1,100,100000,6760803405,57748,1.0,0.625,0.05572,0.9992826398852224,4722.1
45,0.4,0.1,100,100000,6012324269,62460,1.0,0.625,0.0185,0.9989200863930886,4907.7
45,0.6,0.1,100,100000,4954391392,67312,1.0,0.7142857142857143,0.00592,1.0,4970.4
45,0.8,0.1,100,100000,4329097629,59040,1.0,0.7142857142857143,0.0018,1.0,4991.0
45,1.0,0.1,100,100000,3406509276,49776,1.0,0.7692307692307693,0.00042,1.0,4997.9
65,0.0,0.1,100,100000,89219308819,80748,0.0,0,1.0,0.500010000200004,nan
65,0.2,0.1,100,100000,6200414817,54396,1.0,0.6666666666666666,0.0109,1.0,4945.6
65,0.4,0.1,100,100000,5689806639,55392,1.0,0.7142857142857143,0.00528,1.0,4973.6
65,0.6,0.1,100,100000,4475581334,48596,1.0,0.8333333333333334,0.00236,1.0,4988.2
65,0.8,0.1,100,100000,3773328374,49536,1.0,0.7142857142857143,0.00124,1.0,4993.8
65,1.0,0.1,100,100000,2932066545,51636,1.0,0.7692307692307693,0.00042,1.0,4997.9
15,0.0,0.2,100,100000,90200676021,76860,0.0,0,1.0,0.500010000200004,nan
15,0.2,0.2,100,100000,6930557550,52224,1.0,0.5882352941176471,0.11496,0.9993045897079277,4405.5
15,0.4,0.2,100,100000,5780797531,62692,1.0,0.625,0.00842,0.9976303317535545,4957.1
15,0.6,0.2,100,100000,3518560372,47608,0.7,0.7,0.0002,1.0,4998.571428571428
15,0.8,0.2,100,100000,2671243714,28188,0.0,0,0.0,0,nan
15,1.0,0.2,100,100000,2603738070,28188,0.0,0,0.0,0,nan
25,0.0,0.2,100,100000,88009610983,71980,0.0,0,1.0,0.500010000200004,nan
25,0.2,0.2,100,100000,8120170900,63380,1.0,0.5882352941176471,0.01682,1.0,4913.2
25,0.4,0.2,100,100000,5506948460,53380,1.0,0.625,0.00098,1.0,4995.1
25,0.6,0.2,100,100000,4179829597,48016,0.1,1.0,4e-05,1.0,4998.0
25,0.8,0.2,100,100000,3358430798,28188,0.0,0,0.0,0,nan
25,1.0,0.2,100,100000,3402863984,28188,0.0,0,0.0,0,nan
45,0.0,0.2,100,100000,84257342594,73764,0.0,0,1.0,0.500010000200004,nan
45,0.2,0.2,100,100000,4418321216,51824,1.0,0.6666666666666666,0.00072,1.0,4996.4
45,0.4,0.2,100,100000,2853159273,48372,0.3,0.6,0.0001,1.0,4998.333333333333
45,0.6,0.2,100,100000,2470008045,42112,0.1,1.0,2e-05,1.0,4999.0
45,0.8,0.2,100,100000,2468208079,28188,0.0,0,0.0,0,nan
45,1.0,0.2,100,100000,2527216934,28188,0.0,0,0.0,0,nan
65,0.0,0.2,100,100000,78175392680,79212,0.0,0,1.0,0.500010000200004,nan
65,0.2,0.2,100,100000,2967196615,44280,0.1,1.0,4e-05,1.0,4998.0
65,0.4,0.2,100,100000,2003473197,28188,0.0,0,0.0,0,nan
65,0.6,0.2,100,100000,2362941374,28188,0.0,0,0.0,0,nan
65,0.8,0.2,100,100000,2139441445,28188,0.0,0,0.0,0,nan
65,1.0,0.2,100,100000,2055672953,28188,0.0,0,0.0,0,nan
