tool name,genome count in reads,error rate,time,memory,recall,precision,read count error
PhageFilter,11,0.0,569613768,64612,1.0,0.4074074074074074,3.6363636363636362
BioBloomTools,11,0.0,663302900,500728,1.0,0.4230769230769231,0.36363636363636365
PhageFilter,11,0.02,401505786,61900,1.0,0.5238095238095238,5.636363636363637
BioBloomTools,11,0.02,622394227,500728,1.0,0.5238095238095238,2.3636363636363638
PhageFilter,11,0.04,399244808,64368,1.0,0.6470588235294118,7.090909090909091
BioBloomTools,11,0.04,630752788,500728,1.0,0.6470588235294118,0.6363636363636364
PhageFilter,11,0.06,401868743,62008,1.0,0.55,17.272727272727273
BioBloomTools,11,0.06,588598664,500732,1.0,0.5238095238095238,3.3636363636363638
PhageFilter,11,0.08,404811538,64356,1.0,0.6875,25.454545454545453
BioBloomTools,11,0.08,578225131,500728,1.0,0.5789473684210527,7.454545454545454
PhageFilter,11,0.1,377177546,64388,1.0,0.6111111111111112,33.27272727272727
BioBloomTools,11,0.1,571673421,500776,1.0,0.5,11.363636363636363
PhageFilter,22,0.0,513256107,64408,1.0,0.5641025641025641,2.3636363636363638
BioBloomTools,22,0.0,605286369,500732,1.0,0.6470588235294118,0.5454545454545454
PhageFilter,22,0.02,524346039,64616,1.0,0.5641025641025641,1.0909090909090908
BioBloomTools,22,0.02,580020445,500728,1.0,0.6470588235294118,0.18181818181818182
PhageFilter,22,0.04,510936247,64756,1.0,0.6285714285714286,4.590909090909091
BioBloomTools,22,0.04,594440158,500728,1.0,0.6470588235294118,1.5454545454545454
PhageFilter,22,0.06,503161119,64384,1.0,0.5945945945945946,7.318181818181818
BioBloomTools,22,0.06,563990493,500728,1.0,0.6666666666666666,1.5454545454545454
PhageFilter,22,0.08,421759962,62060,1.0,0.7857142857142857,10.954545454545455
BioBloomTools,22,0.08,560301032,500732,1.0,0.7857142857142857,4.2272727272727275
PhageFilter,22,0.1,436064643,64380,1.0,0.7096774193548387,15.272727272727273
BioBloomTools,22,0.1,570223278,500728,1.0,0.6285714285714286,5.2727272727272725
PhageFilter,33,0.0,582544891,64492,1.0,0.6875,2.090909090909091
BioBloomTools,33,0.0,588335914,500728,1.0,0.75,0.2727272727272727
PhageFilter,33,0.02,588685869,67044,1.0,0.66,1.9696969696969697
BioBloomTools,33,0.02,587718939,500732,1.0,0.7333333333333333,0.6060606060606061
PhageFilter,33,0.04,550185489,64112,1.0,0.7021276595744681,3.090909090909091
BioBloomTools,33,0.04,599427891,500728,1.0,0.7857142857142857,1.1515151515151516
PhageFilter,33,0.06,583081960,66792,1.0,0.673469387755102,5.212121212121212
BioBloomTools,33,0.06,582169945,500732,1.0,0.6875,1.2727272727272727
PhageFilter,33,0.08,598434071,66776,1.0,0.6875,8.090909090909092
BioBloomTools,33,0.08,578234047,500728,1.0,0.7021276595744681,1.6666666666666667
PhageFilter,33,0.1,531825454,66744,1.0,0.7674418604651163,10.121212121212121
BioBloomTools,33,0.1,574729906,500728,1.0,0.7021276595744681,3.0303030303030303
PhageFilter,44,0.0,583951076,64608,1.0,0.676923076923077,1.2727272727272727
BioBloomTools,44,0.0,587402658,500732,1.0,0.7457627118644068,0.022727272727272728
PhageFilter,44,0.02,614560554,64412,1.0,0.7213114754098361,2.340909090909091
BioBloomTools,44,0.02,585132371,500732,1.0,0.8148148148148148,0.7045454545454546
PhageFilter,44,0.04,599802349,66980,1.0,0.7457627118644068,1.9090909090909092
BioBloomTools,44,0.04,576291419,500728,1.0,0.7586206896551724,0.7045454545454546
PhageFilter,44,0.06,606140757,67064,1.0,0.7586206896551724,3.772727272727273
BioBloomTools,44,0.06,564210497,500728,1.0,0.7857142857142857,1.5681818181818181
PhageFilter,44,0.08,571781345,66776,1.0,0.7586206896551724,6.545454545454546
BioBloomTools,44,0.08,568642599,500732,1.0,0.7457627118644068,1.8181818181818181
PhageFilter,44,0.1,586142833,64348,0.9772727272727273,0.8431372549019608,8.0
BioBloomTools,44,0.1,581566486,500728,1.0,0.7857142857142857,2.5454545454545454
PhageFilter,55,0.0,582797543,64160,1.0,0.8208955223880597,1.8
BioBloomTools,55,0.0,595939616,500728,1.0,0.9016393442622951,0.2545454545454545
PhageFilter,55,0.02,643898849,64496,1.0,0.7857142857142857,1.309090909090909
BioBloomTools,55,0.02,588781088,500728,1.0,0.8333333333333334,0.34545454545454546
PhageFilter,55,0.04,669091020,66744,1.0,0.7971014492753623,1.490909090909091
BioBloomTools,55,0.04,583431885,500728,1.0,0.8333333333333334,0.36363636363636365
PhageFilter,55,0.06,601304622,66740,1.0,0.8461538461538461,2.7818181818181817
BioBloomTools,55,0.06,583934320,500728,1.0,0.8461538461538461,1.0545454545454545
PhageFilter,55,0.08,648458039,64696,1.0,0.8333333333333334,4.090909090909091
BioBloomTools,55,0.08,578780380,500728,1.0,0.8333333333333334,1.6727272727272726
PhageFilter,55,0.1,575135499,64272,0.9272727272727272,0.8095238095238095,6.372549019607843
BioBloomTools,55,0.1,586674648,500728,1.0,0.7746478873239436,2.272727272727273
PhageFilter,66,0.0,683703795,66412,1.0,0.8918918918918919,2.696969696969697
BioBloomTools,66,0.0,617671865,500732,1.0,0.9428571428571428,0.5151515151515151
PhageFilter,66,0.02,626869401,66440,1.0,0.8461538461538461,1.0303030303030303
BioBloomTools,66,0.02,590895420,500728,1.0,0.88,0.4393939393939394
PhageFilter,66,0.04,636040968,64340,1.0,0.868421052631579,2.196969696969697
BioBloomTools,66,0.04,598493841,500732,1.0,0.9041095890410958,0.8181818181818182
PhageFilter,66,0.06,636388483,66736,1.0,0.9041095890410958,2.515151515151515
BioBloomTools,66,0.06,566403971,500728,1.0,0.8918918918918919,0.8333333333333334
PhageFilter,66,0.08,634046756,64400,1.0,0.9166666666666666,3.4696969696969697
BioBloomTools,66,0.08,571082480,500728,1.0,0.9041095890410958,1.4393939393939394
PhageFilter,66,0.1,638167202,67144,0.9090909090909091,0.8695652173913043,4.983333333333333
BioBloomTools,66,0.1,560557102,500732,1.0,0.8918918918918919,1.7575757575757576
PhageFilter,77,0.0,626400525,64624,1.0,0.875,1.3766233766233766
BioBloomTools,77,0.0,588123352,500728,1.0,0.9058823529411765,0.35064935064935066
