replicate,kmer size,theta,error rate,number of genomes,read count,time,memory,classification recall,classification precision,filter recall,filter precision,avg read count error
0,10,0.0,0.0,33,100000,16860952898,37908,1.0,0.09090909090909091,1.0,0.5,83330.0
0,10,0.2,0.0,33,100000,13843640967,38112,1.0,0.09090909090909091,1.0,0.5002050922915312,27756.666666666668
0,10,0.4,0.0,33,100000,10486175830,38116,1.0,0.11538461538461539,1.0,0.6302930980144973,6389.0
0,10,0.6,0.0,33,100000,8209552541,38096,1.0,0.13636363636363635,1.0,0.9524335651014383,241.0
0,10,0.8,0.0,33,100000,6227486705,38016,1.0,0.2727272727272727,1.0,0.9996401151631478,4.666666666666667
0,10,1.0,0.0,33,100000,3840115040,38016,1.0,1.0,1.0,0.99990000599964,1.6666666666666667
0,20,0.0,0.0,33,100000,19086193466,38028,1.0,0.09090909090909091,1.0,0.5,83330.0
0,20,0.2,0.0,33,100000,10875545533,38004,1.0,0.5,1.0,0.9997000779797253,4.666666666666667
0,20,0.4,0.0,33,100000,8561636180,38000,1.0,1.0,1.0,0.9997800395928733,3.6666666666666665
0,20,0.6,0.0,33,100000,5944800330,38000,1.0,1.0,1.0,0.9998400191976963,2.6666666666666665
0,20,0.8,0.0,33,100000,4494951680,38000,1.0,1.0,1.0,0.9998600139986001,2.3333333333333335
0,20,1.0,0.0,33,100000,3795260218,38000,1.0,1.0,1.0,0.99990000599964,1.6666666666666667
0,30,0.0,0.0,33,100000,20469307535,38008,1.0,0.09090909090909091,1.0,0.5,83330.0
0,30,0.2,0.0,33,100000,11904521193,38008,1.0,1.0,1.0,0.9997800395928733,3.6666666666666665
0,30,0.4,0.0,33,100000,6887743687,38008,1.0,1.0,1.0,0.9998400191976963,2.6666666666666665
0,30,0.6,0.0,33,100000,5318556054,38008,1.0,1.0,1.0,0.9998600139986001,2.3333333333333335
0,30,0.8,0.0,33,100000,3860640891,38008,1.0,1.0,1.0,0.9998800095992321,2.0
0,30,1.0,0.0,33,100000,3757145639,38008,1.0,1.0,1.0,0.99990000599964,1.6666666666666667
0,40,0.0,0.0,33,100000,14133996206,37992,1.0,0.09090909090909091,1.0,0.5,83330.0
0,40,0.2,0.0,33,100000,7845989131,37964,1.0,1.0,1.0,0.9998200251964725,3.0
0,40,0.4,0.0,33,100000,5950140806,37956,1.0,1.0,1.0,0.9998600139986001,2.3333333333333335
0,40,0.6,0.0,33,100000,4560183258,37936,1.0,1.0,1.0,0.9998600139986001,2.3333333333333335
0,40,0.8,0.0,33,100000,4006080723,37912,1.0,1.0,1.0,0.9998800095992321,2.0
0,40,1.0,0.0,33,100000,3515264092,37912,1.0,1.0,1.0,0.99990000599964,1.6666666666666667
0,50,0.0,0.0,33,100000,13740269079,37912,1.0,0.09090909090909091,1.0,0.5,83330.0
0,50,0.2,0.0,33,100000,7458720780,37884,1.0,1.0,1.0,0.9998600139986001,2.3333333333333335
0,50,0.4,0.0,33,100000,5769151841,37824,1.0,1.0,1.0,0.9998600139986001,2.3333333333333335
0,50,0.6,0.0,33,100000,4397241821,37788,1.0,1.0,1.0,0.9998600139986001,2.3333333333333335
0,50,0.8,0.0,33,100000,3496682067,37776,1.0,1.0,1.0,0.9998800095992321,2.0
0,50,1.0,0.0,33,100000,3072199361,37772,1.0,1.0,1.0,0.99990000599964,1.6666666666666667
0,10,0.0,0.02,33,100000,16163858131,27132,1.0,0.09090909090909091,1.0,0.5,83330.0
0,10,0.2,0.02,33,100000,13453520651,27108,1.0,0.09090909090909091,1.0,0.5003152111914984,20907.666666666668
0,10,0.4,0.02,33,100000,11319498544,27096,1.0,0.12,1.0,0.640089103967431,4230.666666666667
0,10,0.6,0.02,33,100000,13012342671,27068,1.0,0.13636363636363635,0.9957398295931837,0.9605070226886865,148.66666666666666
0,10,0.8,0.02,33,100000,9195696811,27032,1.0,0.5,0.8562142485699428,0.9998131583249644,2395.6666666666665
0,10,1.0,0.02,33,100000,3564980532,26988,1.0,1.0,0.22678907156286252,1.0,12886.333333333334
0,20,0.0,0.02,33,100000,22804013452,26988,1.0,0.09090909090909091,1.0,0.5,83330.0
0,20,0.2,0.02,33,100000,11143658688,26944,1.0,0.6,0.9931197247889916,0.9997583860186042,110.66666666666667
0,20,0.4,0.02,33,100000,7558685369,26928,1.0,0.75,0.9366774670986839,0.9999145956102143,1054.0
0,20,0.6,0.02,33,100000,4726551548,26928,1.0,0.75,0.7457698307932318,0.9999463648797232,4236.333333333333
0,20,0.8,0.02,33,100000,3869258626,26928,1.0,1.0,0.3497739909596384,0.9999428212018984,10836.333333333334
0,20,1.0,0.02,33,100000,3177079062,26916,1.0,1.0,0.22118884755390217,1.0,12979.666666666666
0,30,0.0,0.02,33,100000,15390203094,26916,1.0,0.09090909090909091,1.0,0.5,83330.0
0,30,0.2,0.02,33,100000,8147451562,26884,1.0,0.75,0.9232969318772751,0.9998916998787039,1276.6666666666667
0,30,0.4,0.02,33,100000,6833885691,26880,1.0,0.75,0.7825913036521461,0.9999488883209814,3622.6666666666665
0,30,0.6,0.02,33,100000,4379050592,26868,1.0,1.0,0.4810992439697588,0.9999584286011224,8647.666666666666
0,30,0.8,0.02,33,100000,3770857884,26864,1.0,1.0,0.3316132645305812,0.9999396900066341,11139.0
0,30,1.0,0.02,33,100000,2790471346,26860,1.0,1.0,0.22120884835393415,1.0,12979.333333333334
0,40,0.0,0.02,33,100000,14570462752,26860,1.0,0.09090909090909091,1.0,0.5,83330.0
0,40,0.2,0.02,33,100000,8879552778,26812,1.0,0.75,0.8102524100964038,0.9999012711341478,3161.0
0,40,0.4,0.02,33,100000,5929055405,26792,1.0,0.75,0.5858634345373815,0.9999317266334403,6901.333333333333
0,40,0.6,0.02,33,100000,3980534330,26760,1.0,1.0,0.43327733109324373,0.9999538404726735,9444.666666666666
0,40,0.8,0.02,33,100000,3587024149,26740,1.0,1.0,0.3137325493019721,0.9999362529483011,11437.0
0,40,1.0,0.02,33,100000,2950490833,26696,1.0,1.0,0.22120884835393415,1.0,12979.333333333334
0,50,0.0,0.02,33,100000,14788380831,26656,1.0,0.09090909090909091,1.0,0.5,83330.0
