replicate,kmer size,theta,error rate,number of genomes,read count,time,memory,classification recall,classification precision,filter recall,filter precision,avg read count error
0,50,0.2,0.02,100,1000,177792393,26708,1.0,0.7142857142857143,0.662,1.0,14.1
0,50,0.4,0.02,100,1000,149780823,26708,1.0,0.7142857142857143,0.522,1.0,22.0
0,50,0.6,0.02,100,1000,141172042,26708,1.0,0.8333333333333334,0.4,1.0,28.7
0,50,0.8,0.02,100,1000,114898746,26708,1.0,0.8333333333333334,0.288,1.0,35.0
0,50,1.0,0.02,100,1000,124810700,26708,1.0,0.8333333333333334,0.212,1.0,38.9
0,10,0.0,0.04,100,1000,479378103,26700,1.0,0.1,1.0,0.501002004008016,948.0
0,10,0.2,0.04,100,1000,338788760,26708,1.0,0.10204081632653061,1.0,0.501002004008016,117.7
0,10,0.4,0.04,100,1000,265964561,26716,1.0,0.16129032258064516,0.998,0.6364795918367347,21.9
0,10,0.6,0.04,100,1000,219279787,26716,1.0,0.21739130434782608,0.92,0.9218436873747495,4.3
0,10,0.8,0.04,100,1000,188488942,26716,1.0,0.7142857142857143,0.514,1.0,24.0
0,10,1.0,0.04,100,1000,135478591,26716,0.9,1.0,0.056,1.0,46.888888888888886
0,20,0.0,0.04,100,1000,441539371,26716,1.0,0.1,1.0,0.501002004008016,948.0
0,20,0.2,0.04,100,1000,200852518,26716,1.0,0.5882352941176471,0.93,0.9978540772532188,6.6
0,20,0.4,0.04,100,1000,171043527,26716,1.0,0.6666666666666666,0.718,1.0,12.6
0,20,0.6,0.04,100,1000,136397447,26716,1.0,0.7692307692307693,0.422,1.0,28.2
0,20,0.8,0.04,100,1000,137583136,26716,1.0,0.8333333333333334,0.14,1.0,42.9
0,20,1.0,0.04,100,1000,98390293,26716,0.9,1.0,0.054,1.0,47.0
0,30,0.0,0.04,100,1000,441987135,26716,1.0,0.1,1.0,0.501002004008016,948.0
0,30,0.2,0.04,100,1000,203790082,26716,1.0,0.6666666666666666,0.704,1.0,12.9
0,30,0.4,0.04,100,1000,180324502,26716,1.0,0.6666666666666666,0.464,1.0,25.8
0,30,0.6,0.04,100,1000,154224378,26716,1.0,0.8333333333333334,0.238,1.0,37.8
0,30,0.8,0.04,100,1000,144751620,26716,1.0,0.9090909090909091,0.12,1.0,43.9
0,30,1.0,0.04,100,1000,100056999,26716,0.9,1.0,0.054,1.0,47.0
0,40,0.0,0.04,100,1000,410485353,26716,1.0,0.1,1.0,0.501002004008016,948.0
0,40,0.2,0.04,100,1000,209094753,26716,1.0,0.6666666666666666,0.522,1.0,22.6
0,40,0.4,0.04,100,1000,174777752,26716,1.0,0.7692307692307693,0.328,1.0,32.9
0,40,0.6,0.04,100,1000,134498268,26716,1.0,0.8333333333333334,0.192,1.0,40.1
0,40,0.8,0.04,100,1000,129320946,26716,1.0,0.9090909090909091,0.114,1.0,44.3
0,40,1.0,0.04,100,1000,96123985,26716,0.9,1.0,0.054,1.0,47.0
0,50,0.0,0.04,100,1000,415765592,26716,1.0,0.1,1.0,0.501002004008016,948.0
0,50,0.2,0.04,100,1000,187422588,26716,1.0,0.7692307692307693,0.382,1.0,30.0
0,50,0.4,0.04,100,1000,163472020,26716,1.0,0.7692307692307693,0.258,1.0,36.7
0,50,0.6,0.04,100,1000,158675830,26716,1.0,0.8333333333333334,0.164,1.0,41.7
0,50,0.8,0.04,100,1000,174402263,26716,1.0,0.9090909090909091,0.106,1.0,44.7
0,50,1.0,0.04,100,1000,87465196,26716,0.9,1.0,0.054,1.0,47.0
0,10,0.0,0.06,100,1000,461566118,26700,1.0,0.1,1.0,0.501002004008016,948.0
0,10,0.2,0.06,100,1000,337203070,26716,1.0,0.10309278350515463,1.0,0.501002004008016,113.9
0,10,0.4,0.06,100,1000,268055890,26716,1.0,0.13513513513513514,0.992,0.6416558861578266,11.6
0,10,0.6,0.06,100,1000,229060214,26716,1.0,0.2,0.774,0.9214285714285714,11.3
0,10,0.8,0.06,100,1000,185495884,26716,1.0,0.47619047619047616,0.266,1.0,36.9
0,10,1.0,0.06,100,1000,93001441,26716,0.4,0.8,0.008,1.0,49.0
0,20,0.0,0.06,100,1000,706647332,26716,1.0,0.1,1.0,0.501002004008016,948.0
0,20,0.2,0.06,100,1000,224749896,26716,1.0,0.35714285714285715,0.806,0.9975247524752475,9.7
0,20,0.4,0.06,100,1000,260219525,26716,1.0,0.4,0.474,1.0,26.3
0,20,0.6,0.06,100,1000,182201586,26716,1.0,0.47619047619047616,0.2,1.0,40.0
0,20,0.8,0.06,100,1000,184626379,26716,0.6,0.5454545454545454,0.034,1.0,47.166666666666664
0,20,1.0,0.06,100,1000,115632925,26716,0.4,0.8,0.008,1.0,49.0
0,30,0.0,0.06,100,1000,430716303,26716,1.0,0.1,1.0,0.501002004008016,948.0
0,30,0.2,0.06,100,1000,221465235,26716,1.0,0.37037037037037035,0.534,1.0,23.3
0,30,0.4,0.06,100,1000,194642417,26716,1.0,0.43478260869565216,0.25,1.0,37.5
0,30,0.6,0.06,100,1000,155176469,26720,1.0,0.5263157894736842,0.078,1.0,46.1
0,30,0.8,0.06,100,1000,152303674,26720,0.6,0.6,0.032,1.0,47.333333333333336
0,30,1.0,0.06,100,1000,93024234,26720,0.4,0.8,0.008,1.0,49.0
0,40,0.0,0.06,100,1000,411895838,26720,1.0,0.1,1.0,0.501002004008016,948.0
0,40,0.2,0.06,100,1000,207526771,26720,1.0,0.4166666666666667,0.316,1.0,34.2
0,40,0.4,0.06,100,1000,169239392,26720,1.0,0.47619047619047616,0.146,1.0,42.7
0,40,0.6,0.06,100,1000,146145561,26720,1.0,0.5555555555555556,0.06,1.0,47.0
0,40,0.8,0.06,100,1000,138531404,26720,0.6,0.6,0.026,1.0,47.833333333333336
0,40,1.0,0.06,100,1000,94015489,26720,0.4,0.8,0.008,1.0,49.0
0,50,0.0,0.06,100,1000,403841372,26720,1.0,0.1,1.0,0.501002004008016,948.0
0,50,0.2,0.06,100,1000,187854527,26720,1.0,0.43478260869565216,0.182,1.0,40.9
0,50,0.4,0.06,100,1000,161545506,26720,1.0,0.5,0.102,1.0,44.9
0,50,0.6,0.06,100,1000,161908679,26720,0.8,0.6153846153846154,0.044,1.0,47.25
0,50,0.8,0.06,100,1000,150207471,26720,0.5,0.625,0.022,1.0,47.8
0,50,1.0,0.06,100,1000,82146236,26720,0.4,0.8,0.008,1.0,49.0
0,10,0.0,0.08,100,1000,474073433,26704,1.0,0.1,1.0,0.501002004008016,948.0
0,10,0.2,0.08,100,1000,335521390,26712,1.0,0.10416666666666667,1.0,0.501002004008016,127.6
0,10,0.4,0.08,100,1000,281569063,26712,1.0,0.14084507042253522,0.96,0.6349206349206349,27.9
0,10,0.6,0.08,100,1000,196653799,26712,1.0,0.18867924528301888,0.584,0.906832298136646,18.5
0,10,0.8,0.08,100,1000,200342393,26712,0.9,0.375,0.156,1.0,41.333333333333336
0,10,1.0,0.08,100,1000,69484443,26712,0.1,1.0,0.002,1.0,49.0
0,20,0.0,0.08,100,1000,430961380,26712,1.0,0.1,1.0,0.501002004008016,948.0
0,20,0.2,0.08,100,1000,209509855,26712,1.0,0.5,0.584,0.9931972789115646,20.9
0,20,0.4,0.08,100,1000,162121314,26712,1.0,0.5,0.254,0.9921875,37.4
0,20,0.6,0.08,100,1000,138580592,26712,0.9,0.5,0.08,1.0,45.55555555555556
0,20,0.8,0.08,100,1000,141508052,26712,0.6,0.6666666666666666,0.012,1.0,49.0
0,20,1.0,0.08,100,1000,73618683,26712,0.1,1.0,0.002,1.0,49.0
0,30,0.0,0.08,100,1000,430958171,26712,1.0,0.1,1.0,0.501002004008016,948.0
0,30,0.2,0.08,100,1000,211406753,26712,1.0,0.5,0.294,0.9865771812080537,35.3
0,30,0.4,0.08,100,1000,178601678,26712,1.0,0.5,0.112,0.9824561403508771,44.4
0,30,0.6,0.08,100,1000,140791841,26712,0.8,0.7272727272727273,0.024,1.0,48.5
0,30,0.8,0.08,100,1000,119854378,26712,0.6,0.75,0.012,1.0,49.0
0,30,1.0,0.08,100,1000,71197938,26712,0.1,1.0,0.002,1.0,49.0
0,40,0.0,0.08,100,1000,451602814,26712,1.0,0.1,1.0,0.501002004008016,948.0
0,40,0.2,0.08,100,1000,210986363,26712,1.0,0.5,0.156,0.9873417721518988,42.3
0,40,0.4,0.08,100,1000,196307625,26712,0.9,0.6923076923076923,0.044,0.9565217391304348,47.55555555555556
0,40,0.6,0.08,100,1000,157453396,26712,0.7,0.7,0.02,1.0,48.57142857142857
0,40,0.8,0.08,100,1000,137729616,26712,0.4,0.6666666666666666,0.008,1.0,49.0
0,40,1.0,0.08,100,1000,73817505,26712,0.1,1.0,0.002,1.0,49.0
0,50,0.0,0.08,100,1000,426930479,26712,1.0,0.1,1.0,0.501002004008016,948.0
0,50,0.2,0.08,100,1000,183203229,26712,1.0,0.7142857142857143,0.072,0.972972972972973,46.4
0,50,0.4,0.08,100,1000,169441073,26712,0.9,0.75,0.03,1.0,48.333333333333336
0,50,0.6,0.08,100,1000,156833238,26712,0.6,0.6666666666666666,0.016,1.0,48.666666666666664
0,50,0.8,0.08,100,1000,128118550,26712,0.4,0.6666666666666666,0.008,1.0,49.0
0,50,1.0,0.08,100,1000,83762922,26712,0.1,1.0,0.002,1.0,49.0
0,10,0.0,0.1,100,1000,537272846,26704,1.0,0.1,1.0,0.501002004008016,948.0
0,10,0.2,0.1,100,1000,376787350,26712,1.0,0.10204081632653061,1.0,0.5015045135406219,113.8
0,10,0.4,0.1,100,1000,325003232,26712,1.0,0.1388888888888889,0.902,0.6316526610644257,10.6
0,10,0.6,0.1,100,1000,269219488,26712,1.0,0.2777777777777778,0.336,0.9130434782608695,31.5
0,10,0.8,0.1,100,1000,186231054,26712,0.9,0.8181818181818182,0.028,1.0,48.44444444444444
0,10,1.0,0.1,100,1000,74854903,26712,0.0,0,0.0,0,nan
0,20,0.0,0.1,100,1000,502211686,27016,1.0,0.1,1.0,0.501002004008016,948.0
0,20,0.2,0.1,100,1000,261953476,27024,1.0,0.38461538461538464,0.46,0.9956709956709957,24.8
0,20,0.4,0.1,100,1000,211670112,27024,1.0,0.45454545454545453,0.13,1.0,43.1
0,20,0.6,0.1,100,1000,158032802,27024,0.6,0.6666666666666666,0.018,1.0,48.5
0,20,0.8,0.1,100,1000,129478828,27024,0.2,0.6666666666666666,0.004,1.0,49.0
0,20,1.0,0.1,100,1000,65203607,27024,0.0,0,0.0,0,nan
0,30,0.0,0.1,100,1000,468752406,27024,1.0,0.1,1.0,0.501002004008016,948.0
0,30,0.2,0.1,100,1000,228478476,27024,1.0,0.45454545454545453,0.166,0.9880952380952381,41.4
0,30,0.4,0.1,100,1000,181596268,27024,0.9,0.6428571428571429,0.04,1.0,47.77777777777778
0,30,0.6,0.1,100,1000,128733969,27024,0.3,0.5,0.008,1.0,48.666666666666664
0,30,0.8,0.1,100,1000,132491427,27024,0.2,0.6666666666666666,0.004,1.0,49.0
0,30,1.0,0.1,100,1000,71457889,27024,0.0,0,0.0,0,nan
0,40,0.0,0.1,100,1000,531728568,27024,1.0,0.1,1.0,0.501002004008016,948.0
0,40,0.2,0.1,100,1000,195134153,27024,0.9,0.47368421052631576,0.068,1.0,46.111111111111114
0,40,0.4,0.1,100,1000,190716422,27024,0.6,0.6666666666666666,0.014,1.0,48.833333333333336
0,40,0.6,0.1,100,1000,127794219,27024,0.3,0.5,0.008,1.0,48.666666666666664
0,40,0.8,0.1,100,1000,132335880,27024,0.1,0.5,0.002,1.0,49.0
0,40,1.0,0.1,100,1000,63096229,27024,0.0,0,0.0,0,nan
0,50,0.0,0.1,100,1000,458414849,27024,1.0,0.1,1.0,0.501002004008016,948.0
0,50,0.2,0.1,100,1000,210552962,27024,0.9,0.6923076923076923,0.028,1.0,48.44444444444444
0,50,0.4,0.1,100,1000,169618256,27024,0.3,0.5,0.008,1.0,48.666666666666664
0,50,0.6,0.1,100,1000,128308863,27024,0.2,0.6666666666666666,0.004,1.0,49.0
0,50,0.8,0.1,100,1000,125704333,27024,0.1,0.5,0.002,1.0,49.0
0,50,1.0,0.1,100,1000,69976824,27024,0.0,0,0.0,0,nan
1,10,0.0,0.0,100,1000,631670986,27436,1.0,0.1,1.0,0.501002004008016,948.0
1,10,0.2,0.0,100,1000,444985392,27436,1.0,0.10309278350515463,1.0,0.501002004008016,192.3
1,10,0.4,0.0,100,1000,312130668,27436,1.0,0.15873015873015872,1.0,0.6009615384615384,40.0
1,10,0.6,0.0,100,1000,268626168,27436,1.0,0.20408163265306123,1.0,0.9276437847866419,8.9
1,10,0.8,0.0,100,1000,191702127,27436,1.0,0.4,1.0,0.998003992015968,5.2
1,10,1.0,0.0,100,1000,131901782,27436,1.0,0.7142857142857143,1.0,1.0,1.1
1,20,0.0,0.0,100,1000,517624962,27436,1.0,0.1,1.0,0.501002004008016,948.0
1,20,0.2,0.0,100,1000,280318795,27436,1.0,0.5263157894736842,1.0,1.0,7.6
1,20,0.4,0.0,100,1000,199959593,27436,1.0,0.5882352941176471,1.0,1.0,6.5
1,20,0.6,0.0,100,1000,172934661,27436,1.0,0.625,1.0,1.0,4.2
1,20,0.8,0.0,100,1000,139340052,27436,1.0,0.6666666666666666,1.0,1.0,1.7
1,20,1.0,0.0,100,1000,140778606,27436,1.0,0.7142857142857143,1.0,1.0,0.9
1,30,0.0,0.0,100,1000,473008138,27436,1.0,0.1,1.0,0.501002004008016,948.0
1,30,0.2,0.0,100,1000,225876608,27436,1.0,0.5882352941176471,1.0,1.0,6.7
1,30,0.4,0.0,100,1000,202823508,27436,1.0,0.625,1.0,1.0,4.9
1,30,0.6,0.0,100,1000,188853249,27436,1.0,0.625,1.0,1.0,2.7
1,30,0.8,0.0,100,1000,164921657,27436,1.0,0.6666666666666666,1.0,1.0,1.6
1,30,1.0,0.0,100,1000,130679660,27436,1.0,0.7142857142857143,1.0,1.0,0.9
1,40,0.0,0.0,100,1000,418624382,27436,1.0,0.1,1.0,0.501002004008016,948.0
1,40,0.2,0.0,100,1000,235538264,27436,1.0,0.5882352941176471,1.0,1.0,5.0
1,40,0.4,0.0,100,1000,183033780,27436,1.0,0.625,1.0,1.0,3.5
1,40,0.6,0.0,100,1000,149232394,27436,1.0,0.625,1.0,1.0,2.6
1,40,0.8,0.0,100,1000,161196684,27436,1.0,0.6666666666666666,1.0,1.0,1.6
1,40,1.0,0.0,100,1000,138774695,27436,1.0,0.7142857142857143,1.0,1.0,0.9
1,50,0.0,0.0,100,1000,640634820,27436,1.0,0.1,1.0,0.501002004008016,948.0
1,50,0.2,0.0,100,1000,256442755,27436,1.0,0.625,1.0,1.0,4.2
1,50,0.4,0.0,100,1000,308210262,27436,1.0,0.625,1.0,1.0,3.1
1,50,0.6,0.0,100,1000,197339397,27436,1.0,0.6666666666666666,1.0,1.0,2.3
1,50,0.8,0.0,100,1000,148452557,27436,1.0,0.7142857142857143,1.0,1.0,1.6
1,50,1.0,0.0,100,1000,139884227,27436,1.0,0.7142857142857143,1.0,1.0,0.9
1,10,0.0,0.02,100,1000,637721925,27436,1.0,0.1,1.0,0.501002004008016,948.0
1,10,0.2,0.02,100,1000,358248337,27436,1.0,0.10204081632653061,1.0,0.501002004008016,271.8
1,10,0.4,0.02,100,1000,277867802,27436,1.0,0.17543859649122806,1.0,0.6226650062266501,56.5
1,10,0.6,0.02,100,1000,273220310,27436,1.0,0.2702702702702703,0.998,0.9309701492537313,2.1
1,10,0.8,0.02,100,1000,170528596,27436,1.0,0.6666666666666666,0.832,1.0,8.4
1,10,1.0,0.02,100,1000,143613547,27444,1.0,1.0,0.23,1.0,38.5
1,20,0.0,0.02,100,1000,487086729,27444,1.0,0.1,1.0,0.501002004008016,948.0
1,20,0.2,0.02,100,1000,262775119,27444,1.0,0.6666666666666666,0.992,1.0,0.4
1,20,0.4,0.02,100,1000,185298914,27444,1.0,0.7692307692307693,0.924,1.0,3.8
1,20,0.6,0.02,100,1000,186708388,27444,1.0,0.8333333333333334,0.716,1.0,14.2
1,20,0.8,0.02,100,1000,152386753,27444,1.0,1.0,0.358,1.0,32.1
1,20,1.0,0.02,100,1000,120588004,27444,1.0,1.0,0.228,1.0,38.6
1,30,0.0,0.02,100,1000,466394829,27444,1.0,0.1,1.0,0.501002004008016,948.0
1,30,0.2,0.02,100,1000,219901531,27444,1.0,0.7142857142857143,0.896,1.0,5.2
1,30,0.4,0.02,100,1000,169749116,27444,1.0,0.8333333333333334,0.748,1.0,12.6
