replicate,kmer size,theta,error rate,number of genomes,read count,time,memory,classification recall,classification precision,filter recall,filter precision,avg read count error
1,10,0.0,0.0,50,1000,454604055,29796,1.0,0.1,1.0,0.501002004008016,898.0
1,10,0.2,0.0,50,1000,357844701,30020,1.0,0.13157894736842105,1.0,0.5040322580645161,147.6
1,10,0.4,0.0,50,1000,319683558,30028,1.0,0.19230769230769232,1.0,0.6887052341597796,37.6
1,10,0.6,0.0,50,1000,257328721,30032,1.0,0.45454545454545453,1.0,0.9746588693957114,1.8
1,10,0.8,0.0,50,1000,203251797,30032,1.0,0.625,1.0,0.998003992015968,0.0
1,10,1.0,0.0,50,1000,140891560,30040,1.0,0.7142857142857143,1.0,1.0,0.0
1,20,0.0,0.0,50,1000,430792098,30040,1.0,0.1,1.0,0.501002004008016,898.0
1,20,0.2,0.0,50,1000,155979172,30040,1.0,0.625,1.0,0.998003992015968,0.0
1,20,0.4,0.0,50,1000,165527842,30048,1.0,0.625,1.0,0.998003992015968,0.0
1,20,0.6,0.0,50,1000,158737557,30052,1.0,0.625,1.0,0.998003992015968,0.0
1,20,0.8,0.0,50,1000,177904323,30052,1.0,0.625,1.0,1.0,0.0
1,20,1.0,0.0,50,1000,167472174,30052,1.0,0.7142857142857143,1.0,1.0,0.0
1,30,0.0,0.0,50,1000,399879259,30052,1.0,0.1,1.0,0.501002004008016,898.0
1,30,0.2,0.0,50,1000,147899318,30052,1.0,0.625,1.0,0.998003992015968,0.0
1,30,0.4,0.0,50,1000,153773875,30056,1.0,0.625,1.0,0.998003992015968,0.0
1,30,0.6,0.0,50,1000,156571121,30056,1.0,0.625,1.0,1.0,0.0
1,30,0.8,0.0,50,1000,161874652,30056,1.0,0.625,1.0,1.0,0.0
1,30,1.0,0.0,50,1000,158731166,30056,1.0,0.7142857142857143,1.0,1.0,0.0
1,40,0.0,0.0,50,1000,454395916,30056,1.0,0.1,1.0,0.501002004008016,898.0
1,40,0.2,0.0,50,1000,159094903,30056,1.0,0.625,1.0,0.998003992015968,0.0
1,40,0.4,0.0,50,1000,166196352,30056,1.0,0.625,1.0,1.0,0.0
1,40,0.6,0.0,50,1000,173101359,30056,1.0,0.625,1.0,1.0,0.0
1,40,0.8,0.0,50,1000,179406492,30056,1.0,0.625,1.0,1.0,0.0
1,40,1.0,0.0,50,1000,176549299,30056,1.0,0.7142857142857143,1.0,1.0,0.0
1,50,0.0,0.0,50,1000,408854874,30056,1.0,0.1,1.0,0.501002004008016,898.0
1,50,0.2,0.0,50,1000,157724588,30056,1.0,0.625,1.0,0.998003992015968,0.0
1,50,0.4,0.0,50,1000,168621352,30056,1.0,0.625,1.0,1.0,0.0
