tool name,genome count in reads,error rate,time,memory,recall,precision,read count error
FastViromeExplorer,11,0.0,3771715392,224072,1.0,0.7857142857142857,0.0
PhageFilter,11,0.0,1599109612,29484,1.0,0.5789473684210527,0.0
Kraken2,11,0.0,348443850,29484,1.0,0.7857142857142857,0.36363636363636365
BioBloomTools,11,0.0,586617216,500724,1.0,0.7333333333333333,0.0
FastViromeExplorer,11,0.02,827160462,224092,1.0,0.9166666666666666,0.7726181818181814
PhageFilter,11,0.02,309403930,27092,1.0,0.5238095238095238,3.727272727272727
Kraken2,11,0.02,53867343,27100,1.0,0.8461538461538461,6.2727272727272725
BioBloomTools,11,0.02,584545605,500728,1.0,0.5789473684210527,0.6363636363636364
FastViromeExplorer,11,0.04,794771024,224092,1.0,0.7857142857142857,3.2962090909090906
PhageFilter,11,0.04,289855191,27100,1.0,0.39285714285714285,3.1818181818181817
Kraken2,11,0.04,52947244,27100,1.0,0.9166666666666666,5.181818181818182
BioBloomTools,11,0.04,551863285,500732,1.0,0.4074074074074074,1.2727272727272727
FastViromeExplorer,11,0.06,797858574,224092,1.0,0.7857142857142857,8.949472727272727
PhageFilter,11,0.06,209835540,27100,1.0,0.4230769230769231,8.363636363636363
Kraken2,11,0.06,59849647,27100,1.0,0.7333333333333333,11.909090909090908
BioBloomTools,11,0.06,547886175,500728,1.0,0.4230769230769231,3.272727272727273
FastViromeExplorer,11,0.08,794717600,224088,1.0,1.0,17.0
PhageFilter,11,0.08,225169427,27100,1.0,0.7333333333333333,17.181818181818183
Kraken2,11,0.08,52427749,27100,1.0,0.7857142857142857,8.272727272727273
BioBloomTools,11,0.08,535957185,500728,1.0,0.7857142857142857,8.0
FastViromeExplorer,11,0.1,781931666,224084,1.0,1.0,22.727272727272727
PhageFilter,11,0.1,202364201,27100,1.0,0.5238095238095238,23.636363636363637
Kraken2,11,0.1,51299394,27100,1.0,0.8461538461538461,18.0
BioBloomTools,11,0.1,546194631,500728,1.0,0.5238095238095238,11.272727272727273
FastViromeExplorer,22,0.0,779874525,224084,1.0,0.9565217391304348,0.24716363636363636
PhageFilter,22,0.0,254740977,27100,1.0,0.5641025641025641,7.863636363636363
Kraken2,22,0.0,57543020,27100,1.0,0.9565217391304348,1.5909090909090908
BioBloomTools,22,0.0,652472868,500728,1.0,0.7096774193548387,0.7727272727272727
FastViromeExplorer,22,0.02,792610445,224084,1.0,1.0,0.4228636363636362
PhageFilter,22,0.02,217523131,27100,1.0,0.5641025641025641,0.7727272727272727
Kraken2,22,0.02,53936764,27100,1.0,1.0,1.3181818181818181
BioBloomTools,22,0.02,571725744,500728,1.0,0.6666666666666666,0.18181818181818182
FastViromeExplorer,22,0.04,807681383,224088,1.0,0.9166666666666666,2.060531818181818
PhageFilter,22,0.04,273340218,27100,1.0,0.4583333333333333,3.409090909090909
Kraken2,22,0.04,53443627,27100,1.0,0.9565217391304348,4.545454545454546
BioBloomTools,22,0.04,575295961,500728,1.0,0.5116279069767442,1.3181818181818181
FastViromeExplorer,22,0.06,798819623,224088,1.0,1.0,4.590909090909091
PhageFilter,22,0.06,265201569,27100,1.0,0.7096774193548387,4.5
Kraken2,22,0.06,62840783,27100,1.0,0.9565217391304348,2.909090909090909
BioBloomTools,22,0.06,542375125,500732,1.0,0.6875,1.2727272727272727
FastViromeExplorer,22,0.08,814053383,224092,1.0,0.9166666666666666,8.590907272727272
PhageFilter,22,0.08,244194213,27100,1.0,0.6666666666666666,6.909090909090909
Kraken2,22,0.08,61365665,27100,1.0,0.7857142857142857,6.590909090909091
BioBloomTools,22,0.08,576131464,500732,1.0,0.6285714285714286,2.6818181818181817
FastViromeExplorer,22,0.1,847512144,224084,1.0,0.9565217391304348,11.954978636363636
PhageFilter,22,0.1,225879668,27100,1.0,0.5641025641025641,12.772727272727273
Kraken2,22,0.1,54589117,27100,1.0,0.9565217391304348,8.954545454545455
BioBloomTools,22,0.1,534615069,500728,1.0,0.5789473684210527,5.954545454545454
FastViromeExplorer,33,0.0,801785684,224088,1.0,0.9428571428571428,0.3421969696969698
PhageFilter,33,0.0,248333330,27108,1.0,0.6111111111111112,2.1818181818181817
Kraken2,33,0.0,56909519,27108,1.0,0.9705882352941176,1.5454545454545454
BioBloomTools,33,0.0,570293543,500728,1.0,0.7021276595744681,0.6363636363636364
FastViromeExplorer,33,0.02,792379243,224092,1.0,0.9705882352941176,0.22002424242424243
PhageFilter,33,0.02,233647677,27108,1.0,0.66,0.48484848484848486
Kraken2,33,0.02,60705778,27108,1.0,0.9166666666666666,0.6363636363636364
