replicate,kmer size,theta,error rate,number of genomes,read count,time,memory,classification recall,classification precision,filter recall,filter precision,avg read count error
0,10,0.0,0.0,33,1000,334336840,29788,1.0,0.09090909090909091,1.0,0.5,830.0
0,10,0.2,0.0,33,1000,288767189,30016,1.0,0.1111111111111111,1.0,0.5020161290322581,130.0
0,10,0.4,0.0,33,1000,246463214,30024,1.0,0.2,1.0,0.6859504132231405,29.666666666666668
0,10,0.6,0.0,33,1000,189581154,30028,1.0,0.25,1.0,0.9431818181818182,1.6666666666666667
0,10,0.8,0.0,33,1000,173815290,30028,1.0,0.6,1.0,1.0,0.0
0,10,1.0,0.0,33,1000,115539192,30036,1.0,1.0,1.0,1.0,0.0
0,20,0.0,0.0,33,1000,301364685,30036,1.0,0.09090909090909091,1.0,0.5,830.0
0,20,0.2,0.0,33,1000,109979563,30036,1.0,1.0,1.0,1.0,0.0
0,20,0.4,0.0,33,1000,113788157,30036,1.0,1.0,1.0,1.0,0.0
0,20,0.6,0.0,33,1000,122641275,30044,1.0,1.0,1.0,1.0,0.0
0,20,0.8,0.0,33,1000,166803645,30044,1.0,1.0,1.0,1.0,0.0
0,20,1.0,0.0,33,1000,118399342,30044,1.0,1.0,1.0,1.0,0.0
0,30,0.0,0.0,33,1000,285653410,30044,1.0,0.09090909090909091,1.0,0.5,830.0
0,30,0.2,0.0,33,1000,92785963,30044,1.0,1.0,1.0,1.0,0.0
0,30,0.4,0.0,33,1000,102832913,30044,1.0,1.0,1.0,1.0,0.0
0,30,0.6,0.0,33,1000,91660633,30044,1.0,1.0,1.0,1.0,0.0
0,30,0.8,0.0,33,1000,100769553,30044,1.0,1.0,1.0,1.0,0.0
0,30,1.0,0.0,33,1000,113501620,30044,1.0,1.0,1.0,1.0,0.0
0,40,0.0,0.0,33,1000,276968859,30044,1.0,0.09090909090909091,1.0,0.5,830.0
0,40,0.2,0.0,33,1000,100923046,30044,1.0,1.0,1.0,1.0,0.0
0,40,0.4,0.0,33,1000,99675482,30044,1.0,1.0,1.0,1.0,0.0
0,40,0.6,0.0,33,1000,92687907,30044,1.0,1.0,1.0,1.0,0.0
0,40,0.8,0.0,33,1000,102302420,30044,1.0,1.0,1.0,1.0,0.0
