tool name,genome count in reads,error rate,time,memory,recall,precision,read count error
FastViromeExplorer,11,0.0,3680431688,224148,1.0,1.0,0.3220000000000001
PhageFilter,11,0.0,5678662779,44032,1.0,0.6875,6.7272727272727275
Kraken2,11,0.0,841769325,29484,1.0,1.0,5.2727272727272725
BioBloomTools,11,0.0,659260511,500732,1.0,0.6875,3.272727272727273
FastViromeExplorer,11,0.02,833407072,224088,1.0,0.9166666666666666,0.5419090909090908
PhageFilter,11,0.02,1887336017,43544,1.0,0.7857142857142857,7.818181818181818
Kraken2,11,0.02,71344389,27092,1.0,0.8461538461538461,2.909090909090909
BioBloomTools,11,0.02,561177862,500776,1.0,0.5238095238095238,0.36363636363636365
FastViromeExplorer,11,0.04,800009322,224092,1.0,0.6875,4.334036363636364
PhageFilter,11,0.04,949465870,44276,1.0,0.8461538461538461,22.636363636363637
Kraken2,11,0.04,116874673,27092,1.0,0.6111111111111112,4.454545454545454
BioBloomTools,11,0.04,599809961,500728,1.0,0.55,1.4545454545454546
FastViromeExplorer,11,0.06,806693129,224088,1.0,1.0,6.909090909090909
PhageFilter,11,0.06,523843069,43500,1.0,1.0,31.636363636363637
Kraken2,11,0.06,53112272,27092,1.0,0.9166666666666666,3.090909090909091
BioBloomTools,11,0.06,609305980,500732,1.0,0.8461538461538461,2.1818181818181817
FastViromeExplorer,11,0.08,805683475,224084,1.0,0.9166666666666666,15.483554545454545
PhageFilter,11,0.08,389615467,44028,1.0,0.6875,39.09090909090909
Kraken2,11,0.08,52353929,27092,1.0,0.9166666666666666,12.727272727272727
BioBloomTools,11,0.08,547175286,500728,1.0,0.5789473684210527,6.545454545454546
FastViromeExplorer,11,0.1,814930009,224084,1.0,0.9166666666666666,22.09090909090909
PhageFilter,11,0.1,493576708,43516,0.8181818181818182,0.75,42.111111111111114
Kraken2,11,0.1,52301562,27092,1.0,0.7857142857142857,16.545454545454547
BioBloomTools,11,0.1,543874462,500728,1.0,0.5,11.727272727272727
FastViromeExplorer,22,0.0,901415123,224080,1.0,0.9166666666666666,0.09090909090909091
