tool name,genome count in reads,error rate,time,memory,recall,precision,read count error
FastViromeExplorer,11,0.0,3533387272,224084,1.0,0.8461538461538461,0.11626363636363637
PhageFilter,11,0.0,4485420398,45148,1.0,0.6875,0.0
Kraken2,11,0.0,263498669,29492,1.0,0.9166666666666666,2.0
BioBloomTools,11,0.0,644988983,500732,1.0,0.6875,0.09090909090909091
FastViromeExplorer,11,0.02,874950230,224084,1.0,0.9166666666666666,0.45454545454545453
PhageFilter,11,0.02,1632262032,45144,1.0,0.8461538461538461,11.363636363636363
Kraken2,11,0.02,78910131,27100,1.0,0.9166666666666666,1.8181818181818181
BioBloomTools,11,0.02,603927202,500732,1.0,0.55,0.09090909090909091
FastViromeExplorer,11,0.04,874598182,224088,1.0,0.8461538461538461,3.196827272727273
PhageFilter,11,0.04,1418944007,45384,1.0,0.8461538461538461,27.636363636363637
Kraken2,11,0.04,71966573,27100,1.0,0.9166666666666666,4.2727272727272725
BioBloomTools,11,0.04,575496025,500728,1.0,0.5,0.7272727272727273
FastViromeExplorer,11,0.06,850807725,224092,1.0,0.7857142857142857,9.200409090909092
PhageFilter,11,0.06,337528494,41180,1.0,0.8461538461538461,37.45454545454545
Kraken2,11,0.06,56091648,27100,1.0,0.7857142857142857,6.181818181818182
BioBloomTools,11,0.06,556390664,500732,1.0,0.4782608695652174,3.8181818181818183
FastViromeExplorer,11,0.08,880896831,224156,1.0,0.8461538461538461,15.734072727272729
PhageFilter,11,0.08,419704618,43356,1.0,0.9166666666666666,41.63636363636363
Kraken2,11,0.08,70869402,27100,1.0,0.6470588235294118,14.727272727272727
BioBloomTools,11,0.08,575010204,500728,1.0,0.5238095238095238,5.090909090909091
FastViromeExplorer,11,0.1,847652576,224088,1.0,0.7857142857142857,23.396972727272725
PhageFilter,11,0.1,450368078,40976,0.9090909090909091,1.0,43.0
Kraken2,11,0.1,59967690,27100,1.0,0.8461538461538461,18.727272727272727
BioBloomTools,11,0.1,553868339,500728,1.0,0.4583333333333333,11.818181818181818
FastViromeExplorer,22,0.0,830827560,224080,1.0,1.0,0.31220000000000003
PhageFilter,22,0.0,684697423,43020,1.0,0.8461538461538461,1.0
Kraken2,22,0.0,63587047,27100,1.0,1.0,1.0909090909090908
BioBloomTools,22,0.0,574538152,500732,1.0,0.6875,0.5909090909090909
FastViromeExplorer,22,0.02,859240676,224088,1.0,0.9565217391304348,0.3877954545454546
PhageFilter,22,0.02,880119755,45160,1.0,0.8148148148148148,5.045454545454546
Kraken2,22,0.02,61533503,27100,1.0,0.9166666666666666,2.1363636363636362
BioBloomTools,22,0.02,569988190,500728,1.0,0.6111111111111112,0.2727272727272727
FastViromeExplorer,22,0.04,840140469,224088,1.0,1.0,1.5
PhageFilter,22,0.04,702939299,43496,1.0,0.8461538461538461,13.590909090909092
Kraken2,22,0.04,62838287,27100,1.0,0.8461538461538461,2.727272727272727
BioBloomTools,22,0.04,572202428,500732,1.0,0.5789473684210527,0.36363636363636365
FastViromeExplorer,22,0.06,895753123,224088,1.0,1.0,4.363636363636363
PhageFilter,22,0.06,583834685,43276,1.0,0.8461538461538461,17.954545454545453
Kraken2,22,0.06,63277036,27100,1.0,0.9166666666666666,2.9545454545454546
BioBloomTools,22,0.06,551921973,500732,1.0,0.8148148148148148,1.2272727272727273
FastViromeExplorer,22,0.08,808798600,224084,1.0,1.0,7.82459090909091
PhageFilter,22,0.08,465655676,43200,0.8181818181818182,0.8181818181818182,19.833333333333332
Kraken2,22,0.08,56963065,27100,1.0,1.0,4.545454545454546
BioBloomTools,22,0.08,534756119,500728,1.0,0.6875,3.6818181818181817
FastViromeExplorer,22,0.1,908010548,224080,1.0,0.9565217391304348,10.730763636363637
PhageFilter,22,0.1,315768255,40864,0.36363636363636365,1.0,20.875
Kraken2,22,0.1,61318043,27100,1.0,0.8461538461538461,7.590909090909091
BioBloomTools,22,0.1,546008645,500728,1.0,0.6666666666666666,5.409090909090909
FastViromeExplorer,33,0.0,853456328,224084,1.0,0.9705882352941176,0.12198181818181822
PhageFilter,33,0.0,623476599,45504,1.0,0.9705882352941176,1.9393939393939394
Kraken2,33,0.0,55493655,27108,1.0,0.9705882352941176,1.303030303030303
BioBloomTools,33,0.0,592447795,500732,1.0,0.7333333333333333,0.5757575757575758
FastViromeExplorer,33,0.02,972366574,224092,1.0,1.0,0.4140969696969696
PhageFilter,33,0.02,574513746,45400,1.0,0.9166666666666666,3.090909090909091
Kraken2,33,0.02,57584978,27108,1.0,1.0,1.6666666666666667
BioBloomTools,33,0.02,578047676,500728,1.0,0.7333333333333333,0.9090909090909091
FastViromeExplorer,33,0.04,882944852,224088,1.0,0.9705882352941176,1.1045515151515153
PhageFilter,33,0.04,534643138,43212,1.0,0.8918918918918919,8.666666666666666
Kraken2,33,0.04,61416028,27108,1.0,0.9428571428571428,1.878787878787879
BioBloomTools,33,0.04,586367167,500728,1.0,0.6875,0.3939393939393939
FastViromeExplorer,33,0.06,845553598,224092,1.0,0.9705882352941176,3.0794033333333335
PhageFilter,33,0.06,516953996,43248,0.9393939393939394,0.8157894736842105,12.064516129032258
Kraken2,33,0.06,55258906,27108,1.0,0.9705882352941176,2.757575757575758
BioBloomTools,33,0.06,562402515,500728,1.0,0.7021276595744681,1.6363636363636365
FastViromeExplorer,33,0.08,831649888,224092,1.0,0.9705882352941176,5.2727272727272725
PhageFilter,33,0.08,474267267,43200,0.696969696969697,0.8846153846153846,13.565217391304348
Kraken2,33,0.08,60472664,27108,1.0,0.9705882352941176,2.9393939393939394
BioBloomTools,33,0.08,555544482,500728,1.0,0.75,2.393939393939394
FastViromeExplorer,33,0.1,859338192,224156,1.0,0.9166666666666666,7.290482424242424
PhageFilter,33,0.1,394934230,42980,0.5757575757575758,0.9047619047619048,13.842105263157896
Kraken2,33,0.1,57206987,27108,1.0,0.868421052631579,5.575757575757576
BioBloomTools,33,0.1,579811567,500728,1.0,0.7021276595744681,4.03030303030303
FastViromeExplorer,44,0.0,826886001,224084,1.0,0.9777777777777777,0.11085636363636359
PhageFilter,44,0.0,669164175,45260,1.0,0.9565217391304348,0.5909090909090909
Kraken2,44,0.0,87520228,27108,1.0,0.9777777777777777,0.5681818181818182
BioBloomTools,44,0.0,817524861,500728,1.0,0.7857142857142857,0.25
FastViromeExplorer,44,0.02,936599840,224084,1.0,0.9777777777777777,0.22200454545454545
PhageFilter,44,0.02,663214530,45384,1.0,0.9361702127659575,2.8636363636363638
Kraken2,44,0.02,84218042,27108,1.0,0.9777777777777777,0.75
BioBloomTools,44,0.02,574167495,500728,1.0,0.7719298245614035,0.4090909090909091
FastViromeExplorer,44,0.04,890071169,224092,1.0,0.9565217391304348,1.0554706818181818
PhageFilter,44,0.04,712170917,45388,0.8636363636363636,0.9743589743589743,6.2368421052631575
Kraken2,44,0.04,64260054,27112,1.0,0.9565217391304348,1.2954545454545454
BioBloomTools,44,0.04,584842396,500732,1.0,0.7457627118644068,0.6363636363636364
FastViromeExplorer,44,0.06,860557041,224092,1.0,0.9565217391304348,1.896971818181818
PhageFilter,44,0.06,587243999,45376,0.75,0.9428571428571428,7.818181818181818
Kraken2,44,0.06,57946780,27112,1.0,0.9565217391304348,1.5454545454545454
BioBloomTools,44,0.06,590366036,500732,1.0,0.7457627118644068,0.8181818181818182
FastViromeExplorer,44,0.08,875235939,224088,1.0,0.9361702127659575,3.9123929545454543
PhageFilter,44,0.08,497649848,43268,0.6363636363636364,0.8235294117647058,9.535714285714286
Kraken2,44,0.08,62751437,27112,1.0,0.9565217391304348,2.4318181818181817
BioBloomTools,44,0.08,568272821,500728,1.0,0.7096774193548387,1.5681818181818181
FastViromeExplorer,44,0.1,912136098,224088,1.0,0.9777777777777777,5.36363659090909
PhageFilter,44,0.1,359741204,43216,0.3181818181818182,0.9333333333333333,9.642857142857142
Kraken2,44,0.1,55975205,27112,1.0,0.9565217391304348,3.9318181818181817
BioBloomTools,44,0.1,557245124,500728,1.0,0.7096774193548387,2.25
FastViromeExplorer,55,0.0,843425486,224092,1.0,0.9821428571428571,0.1803429090909091
PhageFilter,55,0.0,775596482,45880,1.0,0.9649122807017544,1.5818181818181818
Kraken2,55,0.0,73793401,27120,1.0,0.9821428571428571,0.6545454545454545
BioBloomTools,55,0.0,585897005,500728,1.0,0.8870967741935484,0.5636363636363636
FastViromeExplorer,55,0.02,893662009,224096,1.0,0.9821428571428571,0.4913027272727272
PhageFilter,55,0.02,735462560,45572,0.9090909090909091,0.9433962264150944,2.0
Kraken2,55,0.02,103538054,27120,1.0,0.9649122807017544,0.8545454545454545
BioBloomTools,55,0.02,588686663,500732,1.0,0.873015873015873,0.4727272727272727
FastViromeExplorer,55,0.04,903033487,224092,1.0,1.0,0.7920170909090908
PhageFilter,55,0.04,805695549,45612,0.7454545454545455,0.9761904761904762,4.609756097560975
Kraken2,55,0.04,67616021,27120,1.0,0.9821428571428571,1.0363636363636364
BioBloomTools,55,0.04,594742411,500728,1.0,0.859375,0.7090909090909091
FastViromeExplorer,55,0.06,913164370,224092,1.0,0.9821428571428571,1.8808063636363637
PhageFilter,55,0.06,645794715,45588,0.8181818181818182,0.9574468085106383,7.044444444444444
Kraken2,55,0.06,63600062,27120,1.0,1.0,1.290909090909091
BioBloomTools,55,0.06,565180558,500728,1.0,0.8333333333333334,0.7636363636363637
FastViromeExplorer,55,0.08,843451689,224160,1.0,0.9482758620689655,3.4862640000000003
PhageFilter,55,0.08,477342203,43188,0.509090909090909,0.9655172413793104,7.642857142857143
Kraken2,55,0.08,66996111,27120,1.0,0.9482758620689655,2.290909090909091
BioBloomTools,55,0.08,574759458,500728,1.0,0.8461538461538461,1.6
FastViromeExplorer,55,0.1,835122706,224092,1.0,1.0,4.672727454545454
PhageFilter,55,0.1,403546743,42960,0.34545454545454546,1.0,7.947368421052632
Kraken2,55,0.1,60316847,27120,1.0,0.9821428571428571,3.2363636363636363
BioBloomTools,55,0.1,557305686,500728,1.0,0.7971014492753623,2.290909090909091
FastViromeExplorer,66,0.0,850460083,224084,1.0,0.9705882352941176,0.29400727272727273
PhageFilter,66,0.0,658068138,45300,1.0,0.9850746268656716,1.0303030303030303
Kraken2,66,0.0,66342308,27116,1.0,0.9705882352941176,0.5303030303030303
BioBloomTools,66,0.0,585802775,500728,1.0,0.9166666666666666,0.5
FastViromeExplorer,66,0.02,890512126,224084,1.0,0.9850746268656716,0.3021778787878788
PhageFilter,66,0.02,636422338,45308,0.9090909090909091,1.0,1.5
Kraken2,66,0.02,63242437,27120,1.0,0.9850746268656716,0.4696969696969697
BioBloomTools,66,0.02,566160489,500732,1.0,0.9428571428571428,0.3939393939393939
FastViromeExplorer,66,0.04,840932947,224084,1.0,0.9705882352941176,0.75566
PhageFilter,66,0.04,711416183,45336,0.696969696969697,0.9387755102040817,3.260869565217391
Kraken2,66,0.04,62157453,27120,1.0,0.9705882352941176,0.6515151515151515
BioBloomTools,66,0.04,570024554,500732,1.0,0.868421052631579,0.5454545454545454
FastViromeExplorer,66,0.06,859607883,224084,1.0,1.0,1.4570875757575756
PhageFilter,66,0.06,598670877,43204,0.5454545454545454,0.9473684210526315,4.555555555555555
Kraken2,66,0.06,60962291,27120,1.0,0.9850746268656716,1.1363636363636365
BioBloomTools,66,0.06,558648882,500732,1.0,0.8571428571428571,0.7575757575757576
FastViromeExplorer,66,0.08,841634707,224084,1.0,0.9850746268656716,2.575758181818182
PhageFilter,66,0.08,456508415,42912,0.2878787878787879,1.0,5.631578947368421
Kraken2,66,0.08,68668735,27120,0.9848484848484849,0.9848484848484849,1.7230769230769232
BioBloomTools,66,0.08,591126189,500728,1.0,0.868421052631579,1.2424242424242424
FastViromeExplorer,66,0.1,987366273,224080,1.0,0.9850746268656716,3.3975248484848484
PhageFilter,66,0.1,335723272,40804,0.16666666666666666,0.9166666666666666,6.0
Kraken2,66,0.1,85628413,27120,0.9848484848484849,0.9558823529411765,2.3076923076923075
BioBloomTools,66,0.1,654481764,500728,1.0,0.88,1.6515151515151516
FastViromeExplorer,77,0.0,878466228,224076,1.0,1.0,0.27521311688311684
PhageFilter,77,0.0,823549626,43232,1.0,0.9871794871794872,1.025974025974026
Kraken2,77,0.0,89369841,27124,1.0,1.0,0.42857142857142855
BioBloomTools,77,0.0,616870802,500728,1.0,0.927710843373494,0.38961038961038963
FastViromeExplorer,77,0.02,999286581,224084,1.0,0.9871794871794872,0.175074025974026
PhageFilter,77,0.02,870396398,45300,0.8051948051948052,0.9841269841269841,1.096774193548387
Kraken2,77,0.02,65353026,27124,1.0,0.9871794871794872,0.37662337662337664
BioBloomTools,77,0.02,599200314,500728,1.0,0.8953488372093024,0.33766233766233766
FastViromeExplorer,77,0.04,878605173,224084,1.0,0.9871794871794872,0.7191544155844155
PhageFilter,77,0.04,667983884,45528,0.5324675324675324,1.0,1.975609756097561
Kraken2,77,0.04,67538011,27124,1.0,1.0,0.6623376623376623
BioBloomTools,77,0.04,620390708,500728,1.0,0.9506172839506173,0.6103896103896104
FastViromeExplorer,77,0.06,871576283,224084,1.0,0.9871794871794872,1.3401064935064935
PhageFilter,77,0.06,620528969,45360,0.7012987012987013,0.9642857142857143,4.2592592592592595
Kraken2,77,0.06,76525914,27124,1.0,1.0,0.987012987012987
BioBloomTools,77,0.06,611308398,500728,1.0,0.9390243902439024,0.8181818181818182
FastViromeExplorer,77,0.08,881615866,224084,0.987012987012987,0.987012987012987,2.2550469736842103
PhageFilter,77,0.08,508183333,45824,0.37662337662337664,1.0,4.620689655172414
Kraken2,77,0.08,76237951,27124,0.987012987012987,1.0,1.4078947368421053
BioBloomTools,77,0.08,650192295,500732,1.0,0.9390243902439024,1.0909090909090908
FastViromeExplorer,77,0.1,902172280,224080,1.0,0.9871794871794872,2.861880168812987
PhageFilter,77,0.1,347480379,42968,0.2077922077922078,0.9411764705882353,4.875
Kraken2,77,0.1,72150446,27124,0.987012987012987,1.0,1.9078947368421053
BioBloomTools,77,0.1,678948312,500728,1.0,0.9506172839506173,1.5974025974025974
FastViromeExplorer,88,0.0,874794257,224076,1.0,1.0,0.1762701136363636
PhageFilter,88,0.0,687538869,45516,0.36363636363636365,0.9696969696969697,3.78125
Kraken2,88,0.0,61453452,27124,1.0,1.0,0.3181818181818182
BioBloomTools,88,0.0,623554445,500732,1.0,0.9887640449438202,0.375
FastViromeExplorer,88,0.02,890336045,224080,1.0,0.9887640449438202,0.23408625
PhageFilter,88,0.02,768292440,45268,0.7272727272727273,1.0,0.96875
Kraken2,88,0.02,69758309,27124,0.9886363636363636,0.9886363636363636,0.40229885057471265
BioBloomTools,88,0.02,586535226,500728,1.0,0.9565217391304348,0.4090909090909091
FastViromeExplorer,88,0.04,862552258,224080,1.0,1.0,0.605111580759125
PhageFilter,88,0.04,701604179,45000,0.6704545454545454,0.9833333333333333,2.406779661016949
Kraken2,88,0.04,65851713,27124,0.9886363636363636,0.9886363636363636,0.6091954022988506
BioBloomTools,88,0.04,606934662,500728,1.0,0.9777777777777777,0.6136363636363636
