tool name,genome count in reads,error rate,time,memory,recall,precision,read count error
FastViromeExplorer,11,0.0,4054673097,224072,1.0,0.9166666666666666,0.36363636363636365
PhageFilter,11,0.0,2969164384,43080,1.0,0.7857142857142857,0.0
Kraken2,11,0.0,206643985,29484,1.0,0.9166666666666666,1.6363636363636365
BioBloomTools,11,0.0,610371559,500732,1.0,0.6470588235294118,0.0
FastViromeExplorer,11,0.02,837684257,224088,1.0,0.9166666666666666,0.7338999999999998
PhageFilter,11,0.02,1433188611,45692,1.0,0.6875,19.0
Kraken2,11,0.02,65874353,27092,1.0,0.9166666666666666,3.8181818181818183
BioBloomTools,11,0.02,589866302,500728,1.0,0.4782608695652174,0.18181818181818182
FastViromeExplorer,11,0.04,857656980,224092,1.0,0.9166666666666666,3.727272727272727
PhageFilter,11,0.04,1027981586,43028,1.0,0.7857142857142857,31.363636363636363
Kraken2,11,0.04,97232477,27092,1.0,0.9166666666666666,4.363636363636363
BioBloomTools,11,0.04,581571238,500728,1.0,0.5238095238095238,2.6363636363636362
FastViromeExplorer,11,0.06,857752174,224084,1.0,0.9166666666666666,8.290936363636364
PhageFilter,11,0.06,710985435,45636,1.0,0.6470588235294118,41.09090909090909
Kraken2,11,0.06,53047522,27100,1.0,0.8461538461538461,4.090909090909091
BioBloomTools,11,0.06,560325828,500728,1.0,0.6111111111111112,2.4545454545454546
FastViromeExplorer,11,0.08,830371128,224084,1.0,1.0,15.818181818181818
PhageFilter,11,0.08,348899087,42952,0.9090909090909091,0.7692307692307693,42.6
Kraken2,11,0.08,54846076,27100,1.0,0.7857142857142857,13.818181818181818
BioBloomTools,11,0.08,562889533,500728,1.0,0.5238095238095238,7.363636363636363
FastViromeExplorer,11,0.1,828032294,224152,1.0,0.7857142857142857,23.834854545454547
PhageFilter,11,0.1,329422636,40644,0.9090909090909091,0.9090909090909091,43.4
Kraken2,11,0.1,62218817,27100,1.0,0.7333333333333333,20.0
BioBloomTools,11,0.1,555205457,500728,1.0,0.55,12.090909090909092
FastViromeExplorer,22,0.0,811432992,224084,1.0,0.9166666666666666,0.0
PhageFilter,22,0.0,807811192,45636,0.9090909090909091,0.8333333333333334,0.0
Kraken2,22,0.0,59735241,27100,1.0,1.0,0.9090909090909091
BioBloomTools,22,0.0,567664334,500728,1.0,0.6666666666666666,0.045454545454545456
FastViromeExplorer,22,0.02,830229478,224088,1.0,1.0,0.4494818181818182
PhageFilter,22,0.02,473636553,45420,1.0,0.8461538461538461,8.363636363636363
Kraken2,22,0.02,52220673,27100,1.0,0.9166666666666666,1.9090909090909092
BioBloomTools,22,0.02,575806411,500728,1.0,0.6285714285714286,0.5454545454545454
FastViromeExplorer,22,0.04,825869115,224160,1.0,0.88,2.0835318181818185
PhageFilter,22,0.04,493690265,45368,0.9090909090909091,0.7692307692307693,15.5
Kraken2,22,0.04,60531274,27100,1.0,0.88,3.9545454545454546
BioBloomTools,22,0.04,587617352,500728,1.0,0.6285714285714286,2.3636363636363638
FastViromeExplorer,22,0.06,841558967,224088,1.0,0.8461538461538461,4.284913636363637
PhageFilter,22,0.06,450679363,45432,0.9090909090909091,0.7692307692307693,18.95
Kraken2,22,0.06,58786198,27100,1.0,0.9166666666666666,3.409090909090909
BioBloomTools,22,0.06,576628084,500728,1.0,0.5365853658536586,1.8636363636363635
FastViromeExplorer,22,0.08,817272846,224088,1.0,0.9565217391304348,7.693613636363636
PhageFilter,22,0.08,345129602,42984,0.7272727272727273,0.9411764705882353,20.0
Kraken2,22,0.08,53137001,27100,1.0,0.9166666666666666,5.5
BioBloomTools,22,0.08,556365385,500728,1.0,0.8461538461538461,3.8181818181818183
FastViromeExplorer,22,0.1,812905989,224084,1.0,0.9166666666666666,11.05334590909091
PhageFilter,22,0.1,218335242,40472,0.22727272727272727,0.8333333333333334,20.6
Kraken2,22,0.1,59515137,27100,1.0,0.9166666666666666,7.2727272727272725
BioBloomTools,22,0.1,549522547,500728,1.0,0.7096774193548387,5.136363636363637
FastViromeExplorer,33,0.0,819853353,224088,1.0,0.9705882352941176,0.3565878787878787
