genome count, time (ns), memory (bytes)
11, 90571346978, 124329984
22, 229428423979, 218337280
33, 305128910953, 340758528
44, 438965766616, 438587392
55, 614090604814, 567734272
66, 751839825576, 666763264
77, 1007877870563, 777797632
88, 1036919576803, 896983040
99, 1372520723412, 1059414016
