tool name,genome count in reads,error rate,time,memory,recall,precision,read count error
FastViromeExplorer,11,0.0,2726655392,224084,1.0,1.0,0.18181818181818182
PhageFilter,11,0.0,2814675024,29496,1.0,0.4782608695652174,0.0
Kraken2,11,0.0,300260992,29496,1.0,0.9166666666666666,3.090909090909091
BioBloomTools,11,0.0,659941059,500728,1.0,0.44,0.09090909090909091
FastViromeExplorer,11,0.02,847757942,224156,1.0,0.7857142857142857,1.1427636363636362
PhageFilter,11,0.02,732445171,27072,1.0,0.5,16.272727272727273
Kraken2,11,0.02,66891685,27072,1.0,0.7857142857142857,5.545454545454546
BioBloomTools,11,0.02,608992139,500728,1.0,0.4583333333333333,1.0
FastViromeExplorer,11,0.04,831923526,224092,1.0,0.9166666666666666,3.289090909090909
PhageFilter,11,0.04,470325230,27072,1.0,0.6470588235294118,30.727272727272727
Kraken2,11,0.04,59994293,27072,1.0,0.7857142857142857,5.0
BioBloomTools,11,0.04,601079848,500728,1.0,0.6111111111111112,1.2727272727272727
FastViromeExplorer,11,0.06,840976598,224092,1.0,0.9166666666666666,10.192636363636364
PhageFilter,11,0.06,598629374,27072,1.0,0.5789473684210527,36.36363636363637
Kraken2,11,0.06,63621886,27072,1.0,0.7857142857142857,11.181818181818182
BioBloomTools,11,0.06,580690197,500732,1.0,0.44,3.6363636363636362
FastViromeExplorer,11,0.08,863922619,224088,1.0,0.9166666666666666,16.381645454545456
PhageFilter,11,0.08,335754496,27072,1.0,0.9166666666666666,41.63636363636363
Kraken2,11,0.08,56098118,27072,1.0,0.8461538461538461,9.727272727272727
BioBloomTools,11,0.08,580266533,500728,1.0,0.6470588235294118,7.2727272727272725
FastViromeExplorer,11,0.1,930772632,224088,1.0,0.8461538461538461,22.598536363636363
PhageFilter,11,0.1,301502673,27072,0.7272727272727273,1.0,43.25
Kraken2,11,0.1,59469457,27080,1.0,0.7857142857142857,15.181818181818182
BioBloomTools,11,0.1,584224824,500728,1.0,0.55,12.363636363636363
FastViromeExplorer,22,0.0,874135526,224084,1.0,0.9565217391304348,0.013163636363636367
PhageFilter,22,0.0,546498784,27084,1.0,0.6285714285714286,1.0909090909090908
Kraken2,22,0.0,56266018,27084,1.0,0.8461538461538461,1.9545454545454546
BioBloomTools,22,0.0,720345785,500732,1.0,0.6285714285714286,0.6818181818181818
FastViromeExplorer,22,0.02,902044225,224092,1.0,0.9166666666666666,0.4466999999999999
PhageFilter,22,0.02,426448991,27084,1.0,0.7857142857142857,7.363636363636363
Kraken2,22,0.02,67367132,27084,1.0,0.9565217391304348,3.590909090909091
BioBloomTools,22,0.02,609027682,500728,1.0,0.5945945945945946,1.4090909090909092
FastViromeExplorer,22,0.04,857485687,224088,1.0,0.9166666666666666,1.8368272727272725
PhageFilter,22,0.04,358663813,27084,1.0,0.7586206896551724,14.363636363636363
Kraken2,22,0.04,63458209,27084,1.0,0.9565217391304348,2.0
BioBloomTools,22,0.04,611681780,500776,1.0,0.6875,0.5454545454545454
FastViromeExplorer,22,0.06,891230046,224088,1.0,0.9166666666666666,3.9692090909090907
PhageFilter,22,0.06,393650545,27084,1.0,0.7333333333333333,17.181818181818183
Kraken2,22,0.06,63238334,27084,1.0,0.9565217391304348,3.272727272727273
BioBloomTools,22,0.06,593553522,500728,1.0,0.6875,1.3636363636363635
FastViromeExplorer,22,0.08,846320763,224092,1.0,0.88,9.114009090909091
PhageFilter,22,0.08,303502600,27084,0.8181818181818182,0.9473684210526315,20.055555555555557
Kraken2,22,0.08,65685499,27084,1.0,0.8461538461538461,5.636363636363637
BioBloomTools,22,0.08,578251193,500732,1.0,0.7096774193548387,3.4545454545454546
FastViromeExplorer,22,0.1,844764034,224088,1.0,0.88,10.694289545454545
PhageFilter,22,0.1,341364885,27084,0.5909090909090909,0.8666666666666667,20.53846153846154
Kraken2,22,0.1,67174491,27084,1.0,0.88,8.0
BioBloomTools,22,0.1,563107616,500728,1.0,0.5789473684210527,3.772727272727273
FastViromeExplorer,33,0.0,828466460,224088,1.0,0.9705882352941176,0.21219393939393938
PhageFilter,33,0.0,487230518,27088,1.0,0.7674418604651163,0.9090909090909091
Kraken2,33,0.0,57123763,27088,1.0,0.9705882352941176,1.4545454545454546
BioBloomTools,33,0.0,619863469,500728,1.0,0.7021276595744681,0.6666666666666666
FastViromeExplorer,33,0.02,834657736,224092,1.0,0.9705882352941176,0.2843848484848486
PhageFilter,33,0.02,497176707,27088,1.0,0.8918918918918919,4.787878787878788
Kraken2,33,0.02,55452396,27088,1.0,0.9705882352941176,1.121212121212121
BioBloomTools,33,0.02,584499809,500728,1.0,0.717391304347826,0.6060606060606061
FastViromeExplorer,33,0.04,811847390,224084,1.0,0.9705882352941176,1.1922363636363638
PhageFilter,33,0.04,424730436,27088,1.0,0.7857142857142857,9.575757575757576
Kraken2,33,0.04,58077435,27088,1.0,0.9428571428571428,1.121212121212121
BioBloomTools,33,0.04,556649012,500728,1.0,0.7333333333333333,0.3333333333333333
FastViromeExplorer,33,0.06,872380684,224160,1.0,0.9428571428571428,2.7630751515151513
PhageFilter,33,0.06,402909646,27088,0.9393939393939394,0.8857142857142857,11.64516129032258
Kraken2,33,0.06,58162868,27088,1.0,0.8918918918918919,2.6666666666666665
BioBloomTools,33,0.06,617969422,500732,1.0,0.717391304347826,1.303030303030303
FastViromeExplorer,33,0.08,821120188,224092,1.0,0.9705882352941176,5.181919696969698
PhageFilter,33,0.08,346775030,27088,0.8181818181818182,0.9,13.222222222222221
Kraken2,33,0.08,54468167,27088,1.0,0.9705882352941176,3.1515151515151514
BioBloomTools,33,0.08,552434667,500732,1.0,0.75,2.5454545454545454
FastViromeExplorer,33,0.1,826127611,224088,1.0,0.8461538461538461,7.536829696969697
PhageFilter,33,0.1,315178676,27088,0.5757575757575758,0.9047619047619048,13.894736842105264
Kraken2,33,0.1,52314964,27088,1.0,0.8918918918918919,5.515151515151516
BioBloomTools,33,0.1,537925414,500728,1.0,0.6346153846153846,3.5454545454545454
FastViromeExplorer,44,0.0,812328007,224080,1.0,0.9777777777777777,0.11544999999999993
PhageFilter,44,0.0,475430904,27092,1.0,0.8,0.6818181818181818
Kraken2,44,0.0,51862898,27092,1.0,0.9777777777777777,0.6818181818181818
BioBloomTools,44,0.0,563928117,500732,1.0,0.8,0.13636363636363635
FastViromeExplorer,44,0.02,822127271,224088,1.0,0.9777777777777777,0.3327175
PhageFilter,44,0.02,526429712,27092,1.0,0.8301886792452831,3.840909090909091
Kraken2,44,0.02,55450009,27092,1.0,0.9361702127659575,0.9545454545454546
BioBloomTools,44,0.02,604202916,500732,1.0,0.7213114754098361,0.25
FastViromeExplorer,44,0.04,857336514,224088,1.0,0.9361702127659575,1.013976590909091
PhageFilter,44,0.04,427426764,27092,1.0,0.8627450980392157,7.340909090909091
Kraken2,44,0.04,55942396,27092,1.0,0.9361702127659575,1.25
BioBloomTools,44,0.04,557593564,500728,1.0,0.7586206896551724,0.3181818181818182
FastViromeExplorer,44,0.06,849010894,224096,1.0,0.9777777777777777,1.9644690909090912
PhageFilter,44,0.06,456911299,27092,1.0,0.88,8.204545454545455
Kraken2,44,0.06,58670663,27092,1.0,0.9565217391304348,1.9545454545454546
BioBloomTools,44,0.06,573983183,500728,1.0,0.8148148148148148,1.5681818181818181
FastViromeExplorer,44,0.08,849539942,224092,1.0,0.9565217391304348,3.6876781818181814
PhageFilter,44,0.08,431477641,27092,0.6136363636363636,0.9,9.407407407407407
Kraken2,44,0.08,71041590,27092,0.9772727272727273,1.0,2.4651162790697674
BioBloomTools,44,0.08,570793523,500732,1.0,0.7333333333333333,1.8181818181818181
FastViromeExplorer,44,0.1,835141227,224088,1.0,0.9777777777777777,5.6363875000000005
PhageFilter,44,0.1,344594577,27092,0.4772727272727273,1.0,9.761904761904763
Kraken2,44,0.1,74261405,27092,1.0,0.9777777777777777,4.090909090909091
BioBloomTools,44,0.1,582848104,500728,1.0,0.7719298245614035,2.9318181818181817
FastViromeExplorer,55,0.0,830217871,224088,1.0,1.0,0.13300872727272728
PhageFilter,55,0.0,470700695,27096,1.0,0.9482758620689655,0.7454545454545455
Kraken2,55,0.0,56317572,27096,1.0,1.0,0.4
BioBloomTools,55,0.0,565605086,500728,1.0,0.9482758620689655,0.3090909090909091
FastViromeExplorer,55,0.02,829147703,224156,1.0,1.0,0.3838816363636363
PhageFilter,55,0.02,473580228,27096,1.0,0.8870967741935484,2.8363636363636364
Kraken2,55,0.02,55830896,27096,1.0,1.0,0.8363636363636363
BioBloomTools,55,0.02,577583196,500776,1.0,0.8870967741935484,0.6727272727272727
FastViromeExplorer,55,0.04,837946215,224096,1.0,1.0,0.7838394545454546
PhageFilter,55,0.04,449141701,27096,0.9818181818181818,0.8852459016393442,5.833333333333333
Kraken2,55,0.04,58562133,27096,1.0,0.9649122807017544,0.9818181818181818
BioBloomTools,55,0.04,549997823,500732,1.0,0.8461538461538461,0.7090909090909091
FastViromeExplorer,55,0.06,845478820,224156,1.0,0.9482758620689655,1.7858660000000002
PhageFilter,55,0.06,415998410,27096,0.8181818181818182,0.8823529411764706,7.222222222222222
Kraken2,55,0.06,59691905,27096,1.0,0.9821428571428571,1.6363636363636365
BioBloomTools,55,0.06,562348165,500728,1.0,0.8461538461538461,1.1818181818181819
FastViromeExplorer,55,0.08,828338401,224092,1.0,0.9649122807017544,3.2200087272727274
PhageFilter,55,0.08,364707202,27096,0.5272727272727272,0.8787878787878788,7.379310344827586
Kraken2,55,0.08,58784056,27096,1.0,1.0,2.3454545454545452
BioBloomTools,55,0.08,560709926,500728,1.0,0.7971014492753623,1.2727272727272727
FastViromeExplorer,55,0.1,851811081,224092,0.9818181818181818,0.9642857142857143,4.5542924074074085
PhageFilter,55,0.1,234811501,27096,0.18181818181818182,0.9090909090909091,7.8
Kraken2,55,0.1,60293430,27096,1.0,0.9821428571428571,3.290909090909091
BioBloomTools,55,0.1,548448975,500728,1.0,0.7638888888888888,2.018181818181818
FastViromeExplorer,66,0.0,838941598,224080,1.0,1.0,0.2160730303030303
PhageFilter,66,0.0,499454039,27096,1.0,0.9166666666666666,1.0151515151515151
Kraken2,66,0.0,54448182,27096,1.0,1.0,0.5
BioBloomTools,66,0.0,572706781,500732,1.0,0.9295774647887324,0.36363636363636365
