tool name,genome count in reads,error rate,time,memory,recall,precision,read count error
FastViromeExplorer,11,0.0,3618951891,224084,1.0,0.9166666666666666,0.0
PhageFilter,11,0.0,7184034943,48508,0.36363636363636365,0.09523809523809523,340.75
Kraken2,11,0.0,284038095,29452,1.0,0.8461538461538461,3.6363636363636362
BioBloomTools,11,0.0,660243321,500728,1.0,0.5,0.09090909090909091
FastViromeExplorer,11,0.02,977261416,224088,1.0,0.9166666666666666,0.6363636363636364
PhageFilter,11,0.02,994394157,48784,0.2727272727272727,0.07317073170731707,397.3333333333333
Kraken2,11,0.02,66523271,27080,1.0,0.8461538461538461,1.9090909090909092
BioBloomTools,11,0.02,580882970,500728,1.0,0.6470588235294118,0.0
FastViromeExplorer,11,0.04,847675743,224160,1.0,0.9166666666666666,3.305609090909091
PhageFilter,11,0.04,989324229,48552,0.18181818181818182,0.05128205128205128,275.0
Kraken2,11,0.04,63403176,27080,1.0,0.7857142857142857,11.0
BioBloomTools,11,0.04,606456532,500728,1.0,0.5238095238095238,5.0
FastViromeExplorer,11,0.06,883445759,224084,1.0,1.0,7.7272727272727275
PhageFilter,11,0.06,1054728716,48536,0.5454545454545454,0.16216216216216217,465.3333333333333
Kraken2,11,0.06,65086295,27080,1.0,1.0,5.454545454545454
BioBloomTools,11,0.06,567694041,500732,1.0,0.55,2.5454545454545454
FastViromeExplorer,11,0.08,823619600,224088,1.0,0.8461538461538461,14.909090909090908
PhageFilter,11,0.08,911144921,48256,0.9090909090909091,0.20408163265306123,217.4
Kraken2,11,0.08,61198901,27080,1.0,0.9166666666666666,9.818181818181818
BioBloomTools,11,0.08,559136416,500728,1.0,0.5,5.545454545454546
FastViromeExplorer,11,0.1,862278336,224084,1.0,0.8461538461538461,21.735727272727274
PhageFilter,11,0.1,853733038,47996,0.5454545454545454,0.14285714285714285,269.1666666666667
Kraken2,11,0.1,64817355,27080,1.0,0.8461538461538461,15.181818181818182
BioBloomTools,11,0.1,592973092,500728,1.0,0.5,11.0
FastViromeExplorer,22,0.0,868996043,224080,1.0,1.0,0.045454545454545456
PhageFilter,22,0.0,959084782,46372,0.4090909090909091,0.23076923076923078,434.6666666666667
Kraken2,22,0.0,62953738,27080,1.0,0.88,1.1818181818181819
BioBloomTools,22,0.0,584196368,500728,1.0,0.6470588235294118,0.09090909090909091
FastViromeExplorer,22,0.02,837439080,224088,1.0,0.9565217391304348,0.27565454545454543
PhageFilter,22,0.02,924812861,48240,0.45454545454545453,0.25,417.2
Kraken2,22,0.02,65714434,27080,1.0,0.9565217391304348,2.409090909090909
BioBloomTools,22,0.02,586552126,500728,1.0,0.6111111111111112,0.2727272727272727
FastViromeExplorer,22,0.04,849588848,224092,1.0,0.9565217391304348,1.632577272727273
PhageFilter,22,0.04,918798995,46124,0.4090909090909091,0.2,396.55555555555554
Kraken2,22,0.04,72037710,27080,1.0,0.9565217391304348,2.1818181818181817
BioBloomTools,22,0.04,590063456,500728,1.0,0.7333333333333333,1.1363636363636365
FastViromeExplorer,22,0.06,832090219,224092,1.0,0.8461538461538461,5.217259090909091
PhageFilter,22,0.06,828882367,48492,0.3181818181818182,0.175,327.42857142857144
Kraken2,22,0.06,64430131,27080,1.0,0.88,3.909090909090909
BioBloomTools,22,0.06,563539215,500728,1.0,0.5945945945945946,1.6363636363636365
FastViromeExplorer,22,0.08,846737923,224088,1.0,0.9166666666666666,6.795781818181819
PhageFilter,22,0.08,970634656,48496,0.4090909090909091,0.23684210526315788,355.8888888888889
Kraken2,22,0.08,66048769,27080,1.0,0.9565217391304348,5.409090909090909
BioBloomTools,22,0.08,563059499,500728,1.0,0.6470588235294118,2.9545454545454546
FastViromeExplorer,22,0.1,842620713,224084,1.0,0.9565217391304348,11.447391818181819
PhageFilter,22,0.1,957378740,45836,0.45454545454545453,0.25,355.4
Kraken2,22,0.1,59378192,27080,1.0,0.8461538461538461,8.909090909090908
BioBloomTools,22,0.1,558398318,500732,1.0,0.5789473684210527,5.863636363636363
FastViromeExplorer,33,0.0,1005143823,224088,1.0,1.0,0.13130303030303037
PhageFilter,33,0.0,962516792,48500,0.48484848484848486,0.4,420.9375
Kraken2,33,0.0,78480615,27088,1.0,1.0,1.0303030303030303
BioBloomTools,33,0.0,568025755,500728,1.0,0.7674418604651163,0.21212121212121213
FastViromeExplorer,33,0.02,852489869,224092,1.0,0.9166666666666666,0.2753939393939394
PhageFilter,33,0.02,923028006,48248,0.42424242424242425,0.32558139534883723,332.2857142857143
Kraken2,33,0.02,71554581,27088,1.0,0.9705882352941176,1.0606060606060606
BioBloomTools,33,0.02,608972403,500732,1.0,0.7333333333333333,0.6060606060606061
FastViromeExplorer,33,0.04,909115980,224096,1.0,0.9428571428571428,1.287742424242424
PhageFilter,33,0.04,975380351,48256,0.3333333333333333,0.2619047619047619,340.0
Kraken2,33,0.04,71046151,27088,1.0,0.9705882352941176,1.303030303030303
BioBloomTools,33,0.04,568569889,500732,1.0,0.75,0.45454545454545453
FastViromeExplorer,33,0.06,1001657039,224088,1.0,0.9428571428571428,2.97981696969697
PhageFilter,33,0.06,1002927024,48772,0.3939393939393939,0.325,341.9230769230769
Kraken2,33,0.06,66282608,27088,1.0,0.9428571428571428,2.484848484848485
BioBloomTools,33,0.06,595483848,500732,1.0,0.7333333333333333,1.2424242424242424
FastViromeExplorer,33,0.08,883515475,224096,1.0,0.868421052631579,5.21472
PhageFilter,33,0.08,1102171483,48268,0.3939393939393939,0.325,340.0
Kraken2,33,0.08,204401111,27088,1.0,0.8461538461538461,4.090909090909091
BioBloomTools,33,0.08,636270424,500728,1.0,0.7021276595744681,2.272727272727273
FastViromeExplorer,33,0.1,878120218,224152,1.0,0.9166666666666666,7.632247272727272
PhageFilter,33,0.1,921693499,48240,0.42424242424242425,0.35,366.85714285714283
Kraken2,33,0.1,87189591,27088,1.0,0.9166666666666666,6.03030303030303
BioBloomTools,33,0.1,579739848,500772,1.0,0.7021276595744681,3.393939393939394
FastViromeExplorer,44,0.0,815662297,224084,1.0,1.0,0.03394545454545452
PhageFilter,44,0.0,935334141,48492,0.5,0.5365853658536586,382.5
Kraken2,44,0.0,64032825,27088,1.0,1.0,0.8181818181818182
BioBloomTools,44,0.0,606946702,500728,1.0,0.7586206896551724,0.2727272727272727
FastViromeExplorer,44,0.02,1040357398,224092,1.0,1.0,0.09095681818181815
PhageFilter,44,0.02,965556292,48708,0.38636363636363635,0.3953488372093023,363.1764705882353
Kraken2,44,0.02,70949228,27088,1.0,1.0,1.0454545454545454
BioBloomTools,44,0.02,579641380,500728,1.0,0.7096774193548387,0.5
FastViromeExplorer,44,0.04,860610269,224092,1.0,0.9777777777777777,0.8329268181818179
PhageFilter,44,0.04,894558886,46096,0.4318181818181818,0.4523809523809524,379.7894736842105
Kraken2,44,0.04,69530462,27088,1.0,0.9565217391304348,1.0227272727272727
BioBloomTools,44,0.04,577089374,500728,1.0,0.8461538461538461,0.4318181818181818
FastViromeExplorer,44,0.06,843918430,224092,1.0,0.9777777777777777,2.689677272727273
PhageFilter,44,0.06,867906679,46104,0.4090909090909091,0.42857142857142855,287.27777777777777
Kraken2,44,0.06,74301084,27088,1.0,1.0,2.3181818181818183
BioBloomTools,44,0.06,559167849,500728,1.0,0.7857142857142857,1.5227272727272727
FastViromeExplorer,44,0.08,910953491,224092,1.0,1.0,3.9994463636363644
PhageFilter,44,0.08,836672544,46108,0.4772727272727273,0.5121951219512195,351.04761904761904
Kraken2,44,0.08,70491084,27088,1.0,1.0,2.772727272727273
BioBloomTools,44,0.08,548634958,500728,1.0,0.7857142857142857,1.7727272727272727
FastViromeExplorer,44,0.1,812348220,224084,1.0,0.9777777777777777,5.287593636363637
PhageFilter,44,0.1,907203618,48236,0.4090909090909091,0.45,342.94444444444446
Kraken2,44,0.1,138473767,27088,1.0,0.9777777777777777,3.840909090909091
BioBloomTools,44,0.1,525781285,500728,1.0,0.6984126984126984,2.772727272727273
FastViromeExplorer,55,0.0,855556942,224088,1.0,1.0,0.07911054545454543
PhageFilter,55,0.0,886236357,48240,0.45454545454545453,0.6097560975609756,404.72
Kraken2,55,0.0,60961979,27092,1.0,1.0,0.38181818181818183
BioBloomTools,55,0.0,554677945,500728,1.0,0.8208955223880597,0.14545454545454545
FastViromeExplorer,55,0.02,831412421,224092,1.0,1.0,0.3560854545454545
PhageFilter,55,0.02,793924103,48528,0.41818181818181815,0.5609756097560976,358.1304347826087
Kraken2,55,0.02,60628712,27092,1.0,1.0,0.43636363636363634
BioBloomTools,55,0.02,546441760,500728,1.0,0.873015873015873,0.38181818181818183
FastViromeExplorer,55,0.04,834139843,224156,1.0,0.9649122807017544,1.0519838181818182
PhageFilter,55,0.04,942943034,48268,0.36363636363636365,0.4878048780487805,365.2
Kraken2,55,0.04,85225115,27092,1.0,0.9821428571428571,1.3818181818181818
BioBloomTools,55,0.04,652573264,500732,1.0,0.8088235294117647,1.0363636363636364
FastViromeExplorer,55,0.06,856402783,224096,1.0,1.0,1.711364
PhageFilter,55,0.06,1285508931,48524,0.4,0.55,401.27272727272725
Kraken2,55,0.06,75179804,27092,1.0,1.0,1.290909090909091
BioBloomTools,55,0.06,580599551,500728,1.0,0.9166666666666666,0.8545454545454545
FastViromeExplorer,55,0.08,888666640,224096,1.0,0.9821428571428571,3.2181818181818183
PhageFilter,55,0.08,898442057,48508,0.43636363636363634,0.5853658536585366,357.2083333333333
Kraken2,55,0.08,60729285,27092,1.0,0.9821428571428571,2.1454545454545455
BioBloomTools,55,0.08,555858762,500728,1.0,0.8208955223880597,1.4
FastViromeExplorer,55,0.1,900299552,224152,0.9818181818181818,1.0,4.845689444444445
PhageFilter,55,0.1,856566927,48500,0.36363636363636365,0.5,335.3
Kraken2,55,0.1,81842606,27092,0.9818181818181818,1.0,3.3518518518518516
BioBloomTools,55,0.1,591651598,500728,1.0,0.859375,2.327272727272727
FastViromeExplorer,66,0.0,912502189,224080,1.0,1.0,0.14154666666666665
PhageFilter,66,0.0,1041096547,48456,0.4393939393939394,0.6904761904761905,363.6896551724138
Kraken2,66,0.0,61925364,27092,1.0,1.0,0.5303030303030303
BioBloomTools,66,0.0,602641150,500728,1.0,0.88,0.36363636363636365
FastViromeExplorer,66,0.02,872155381,224084,1.0,1.0,0.18631939393939395
PhageFilter,66,0.02,994133413,48168,0.4090909090909091,0.6428571428571429,350.1111111111111
Kraken2,66,0.02,68957258,27092,1.0,0.9850746268656716,0.5606060606060606
BioBloomTools,66,0.02,574012114,500728,1.0,0.8571428571428571,0.4090909090909091
FastViromeExplorer,66,0.04,847796471,224092,1.0,1.0,0.7756153030303029
PhageFilter,66,0.04,857723344,48184,0.36363636363636365,0.5714285714285714,338.25
Kraken2,66,0.04,89120671,27092,1.0,1.0,0.9848484848484849
BioBloomTools,66,0.04,705804794,500728,1.0,0.8918918918918919,0.9545454545454546
FastViromeExplorer,66,0.06,843818808,224088,1.0,1.0,1.5757574242424242
PhageFilter,66,0.06,1101111441,48196,0.4090909090909091,0.6585365853658537,366.81481481481484
Kraken2,66,0.06,59524338,27092,1.0,1.0,1.303030303030303
BioBloomTools,66,0.06,566512770,500728,1.0,0.8571428571428571,0.8636363636363636
FastViromeExplorer,66,0.08,1000979040,224084,1.0,0.9565217391304348,2.5478556060606063
PhageFilter,66,0.08,1077013922,48176,0.3939393939393939,0.65,347.6923076923077
Kraken2,66,0.08,66183298,27092,0.9848484848484849,0.9848484848484849,1.7538461538461538
BioBloomTools,66,0.08,613480086,500728,1.0,0.8918918918918919,1.121212121212121
FastViromeExplorer,66,0.1,898440715,224084,0.9848484848484849,0.9848484848484849,3.6205336923076925
PhageFilter,66,0.1,1025035791,48440,0.3787878787878788,0.5952380952380952,337.2
Kraken2,66,0.1,66608454,27096,0.9696969696969697,0.9696969696969697,2.765625
BioBloomTools,66,0.1,613233623,500728,1.0,0.8918918918918919,2.272727272727273
FastViromeExplorer,77,0.0,859321332,224080,1.0,1.0,0.18338623376623378
PhageFilter,77,0.0,964711597,48444,0.4675324675324675,0.8372093023255814,344.75
Kraken2,77,0.0,67370320,27104,1.0,1.0,0.33766233766233766
BioBloomTools,77,0.0,591729639,500732,1.0,0.9166666666666666,0.24675324675324675
FastViromeExplorer,77,0.02,1034923450,224088,1.0,1.0,0.3926103896103896
PhageFilter,77,0.02,852889551,46256,0.38961038961038963,0.7317073170731707,370.7
Kraken2,77,0.02,64336581,27104,1.0,0.9746835443037974,0.5974025974025974
BioBloomTools,77,0.02,584004143,500728,1.0,0.9506172839506173,0.5714285714285714
FastViromeExplorer,77,0.04,864417217,224088,1.0,1.0,0.6911961038961039
PhageFilter,77,0.04,849593971,48172,0.42857142857142855,0.825,352.3333333333333
Kraken2,77,0.04,71317412,27104,1.0,1.0,0.7142857142857143
BioBloomTools,77,0.04,632306561,500728,1.0,0.9166666666666666,0.6623376623376623
FastViromeExplorer,77,0.06,887197785,224084,1.0,1.0,1.3530492207792204
PhageFilter,77,0.06,963969758,48176,0.4155844155844156,0.7804878048780488,339.28125
Kraken2,77,0.06,61895655,27104,1.0,0.9871794871794872,1.1428571428571428
BioBloomTools,77,0.06,583709627,500728,1.0,0.9058823529411765,0.8311688311688312
FastViromeExplorer,77,0.08,882479211,224084,0.961038961038961,1.0,2.1865456756756756
PhageFilter,77,0.08,1072287455,48436,0.42857142857142855,0.825,349.42424242424244
Kraken2,77,0.08,65218087,27104,0.974025974025974,1.0,1.7333333333333334
BioBloomTools,77,0.08,566327630,500728,1.0,0.9058823529411765,1.1818181818181819
FastViromeExplorer,77,0.1,958047392,224080,0.948051948051948,0.9733333333333334,2.8242712328767126
PhageFilter,77,0.1,1004098954,48176,0.4155844155844156,0.8,360.9375
Kraken2,77,0.1,90269548,27104,0.987012987012987,0.987012987012987,1.6842105263157894
BioBloomTools,77,0.1,574670907,500728,1.0,0.9166666666666666,1.3506493506493507
FastViromeExplorer,88,0.0,910287332,224076,1.0,1.0,0.1747454545454545
PhageFilter,88,0.0,1113022861,48120,0.4090909090909091,0.8780487804878049,346.22222222222223
Kraken2,88,0.0,82540716,27104,1.0,1.0,0.42045454545454547
BioBloomTools,88,0.0,612196984,500728,1.0,0.9777777777777777,0.3977272727272727
FastViromeExplorer,88,0.02,878554983,224080,1.0,1.0,0.3326018819318182
PhageFilter,88,0.02,889672133,47860,0.375,0.8048780487804879,361.3333333333333
Kraken2,88,0.02,66968605,27104,0.9886363636363636,1.0,0.40229885057471265
BioBloomTools,88,0.02,583700136,500728,1.0,0.9777777777777777,0.5909090909090909
FastViromeExplorer,88,0.04,877986917,224080,1.0,1.0,0.5191082954545455
PhageFilter,88,0.04,850580460,48124,0.4090909090909091,0.9,359.30555555555554
Kraken2,88,0.04,62278654,27104,1.0,1.0,0.4772727272727273
BioBloomTools,88,0.04,577625364,500728,1.0,0.967032967032967,0.6136363636363636
FastViromeExplorer,88,0.06,829196457,224080,1.0,0.9887640449438202,1.2052495454545455
PhageFilter,88,0.06,1047528219,48108,0.4090909090909091,0.8780487804878049,339.5
Kraken2,88,0.06,69180752,27104,1.0,1.0,0.8295454545454546
BioBloomTools,88,0.06,559229276,500732,1.0,0.9777777777777777,0.8295454545454546
FastViromeExplorer,88,0.08,841241963,224080,1.0,1.0,1.8806501136363636
