tool name,genome count in reads,error rate,time,memory,recall,precision,read count error
FastViromeExplorer,11,0.0,4430574388,224076,1.0,1.0,0.0
PhageFilter,11,0.0,4005076813,43896,1.0,0.5789473684210527,0.0
Kraken2,11,0.0,250363350,29480,1.0,1.0,3.3636363636363638
BioBloomTools,11,0.0,613856216,500728,1.0,0.6111111111111112,0.09090909090909091
FastViromeExplorer,11,0.02,874245584,224092,1.0,1.0,0.6429999999999993
PhageFilter,11,0.02,1855515240,41288,1.0,0.7857142857142857,3.5454545454545454
Kraken2,11,0.02,53393192,27088,1.0,1.0,2.0
BioBloomTools,11,0.02,557544663,500772,1.0,0.7333333333333333,0.36363636363636365
FastViromeExplorer,11,0.04,822802276,224092,1.0,0.7857142857142857,4.0
PhageFilter,11,0.04,1345143529,43588,1.0,0.6111111111111112,5.0
Kraken2,11,0.04,60029554,27096,1.0,1.0,5.2727272727272725
BioBloomTools,11,0.04,578331853,500728,1.0,0.5238095238095238,1.0909090909090908
FastViromeExplorer,11,0.06,795771612,224096,1.0,0.9166666666666666,8.090909090909092
PhageFilter,11,0.06,474800355,41272,1.0,0.7333333333333333,13.636363636363637
Kraken2,11,0.06,50867419,27096,1.0,0.8461538461538461,5.454545454545454
BioBloomTools,11,0.06,543343954,500728,1.0,0.6470588235294118,2.6363636363636362
FastViromeExplorer,11,0.08,806495875,224160,1.0,0.7857142857142857,14.657309090909092
PhageFilter,11,0.08,405148848,41516,1.0,0.6875,22.454545454545453
Kraken2,11,0.08,53410123,27096,1.0,0.8461538461538461,12.181818181818182
BioBloomTools,11,0.08,534217547,500728,1.0,0.5789473684210527,6.090909090909091
FastViromeExplorer,11,0.1,811773937,224160,1.0,0.6875,23.811463636363637
PhageFilter,11,0.1,362545046,43584,1.0,0.6875,31.727272727272727
Kraken2,11,0.1,55626420,27096,1.0,0.6875,19.09090909090909
BioBloomTools,11,0.1,530629226,500728,1.0,0.55,10.181818181818182
FastViromeExplorer,22,0.0,824613539,224088,1.0,1.0,0.45006363636363617
PhageFilter,22,0.0,692788514,43388,1.0,0.6470588235294118,3.0454545454545454
Kraken2,22,0.0,57416282,27096,1.0,0.9565217391304348,2.0454545454545454
BioBloomTools,22,0.0,575342014,500728,1.0,0.6285714285714286,0.36363636363636365
FastViromeExplorer,22,0.02,783940978,224092,1.0,0.9565217391304348,0.6406454545454546
PhageFilter,22,0.02,443380786,43120,1.0,0.8461538461538461,1.2272727272727273
Kraken2,22,0.02,50535869,27096,1.0,0.9565217391304348,0.7727272727272727
BioBloomTools,22,0.02,536375867,500732,1.0,0.8461538461538461,0.4090909090909091
FastViromeExplorer,22,0.04,776010484,224092,1.0,0.88,2.371831818181818
PhageFilter,22,0.04,769142340,45932,1.0,0.88,2.8636363636363638
Kraken2,22,0.04,56459083,27096,1.0,0.9565217391304348,2.727272727272727
BioBloomTools,22,0.04,547301484,500732,1.0,0.6285714285714286,1.1818181818181819
FastViromeExplorer,22,0.06,794171619,224092,1.0,0.8461538461538461,4.866331818181819
PhageFilter,22,0.06,631299895,45980,1.0,0.9166666666666666,6.909090909090909
Kraken2,22,0.06,51553027,27096,1.0,0.9565217391304348,2.090909090909091
BioBloomTools,22,0.06,525461355,500728,1.0,0.6666666666666666,1.7727272727272727
FastViromeExplorer,22,0.08,790044282,224088,1.0,1.0,7.2272727272727275
PhageFilter,22,0.08,442794464,43580,1.0,0.7586206896551724,10.954545454545455
Kraken2,22,0.08,51578394,27096,1.0,1.0,5.0
BioBloomTools,22,0.08,545605245,500728,1.0,0.6111111111111112,3.0454545454545454
FastViromeExplorer,22,0.1,785271194,224088,1.0,1.0,10.363636363636363
PhageFilter,22,0.1,443963863,43584,1.0,0.7333333333333333,15.272727272727273
Kraken2,22,0.1,55858126,27096,1.0,0.88,7.363636363636363
BioBloomTools,22,0.1,530440003,500728,1.0,0.5789473684210527,5.636363636363637
FastViromeExplorer,33,0.0,792296394,224092,1.0,0.9428571428571428,0.0320242424242424
PhageFilter,33,0.0,652690113,45720,1.0,0.7857142857142857,1.4242424242424243
Kraken2,33,0.0,56058059,27104,1.0,0.9705882352941176,0.8484848484848485
BioBloomTools,33,0.0,579000838,500728,1.0,0.75,0.21212121212121213
FastViromeExplorer,33,0.02,800580878,224092,1.0,1.0,0.36251515151515157
PhageFilter,33,0.02,626386151,45724,1.0,0.8461538461538461,1.121212121212121
Kraken2,33,0.02,57100383,27104,1.0,1.0,1.0909090909090908
BioBloomTools,33,0.02,571084437,500732,1.0,0.7021276595744681,0.3333333333333333
FastViromeExplorer,33,0.04,800524522,224092,1.0,1.0,1.4545454545454546
PhageFilter,33,0.04,555651618,45956,1.0,0.8918918918918919,2.3333333333333335
Kraken2,33,0.04,65698199,27104,1.0,1.0,1.4242424242424243
BioBloomTools,33,0.04,582527473,500728,1.0,0.6226415094339622,0.3333333333333333
FastViromeExplorer,33,0.06,793883847,224160,1.0,0.9705882352941176,2.7879418181818183
PhageFilter,33,0.06,535177452,43876,1.0,0.868421052631579,3.9696969696969697
Kraken2,33,0.06,52288097,27104,1.0,0.9428571428571428,2.9696969696969697
BioBloomTools,33,0.06,555326888,500728,1.0,0.673469387755102,1.4545454545454546
FastViromeExplorer,33,0.08,811525996,224096,1.0,0.9166666666666666,5.9393939393939394
PhageFilter,33,0.08,490964143,45952,1.0,0.868421052631579,8.484848484848484
Kraken2,33,0.08,52222426,27104,1.0,0.9166666666666666,3.8484848484848486
