tool name,genome count in reads,error rate,time,memory,recall,precision,read count error
FastViromeExplorer,33,0.1,838208783,224088,1.0,0.9428571428571428,7.6969709090909095
PhageFilter,33,0.1,402175236,27092,1.0,0.825,7.787878787878788
Kraken2,33,0.1,53764771,27092,1.0,0.9428571428571428,5.818181818181818
BioBloomTools,33,0.1,558235639,500732,1.0,0.7674418604651163,3.9393939393939394
FastViromeExplorer,44,0.0,821946970,224080,1.0,0.9777777777777777,0.09798409090909094
PhageFilter,44,0.0,451639029,27096,1.0,0.7586206896551724,2.4318181818181817
Kraken2,44,0.0,58195317,27096,1.0,0.9565217391304348,0.5909090909090909
BioBloomTools,44,0.0,571697510,500728,1.0,0.8,0.4090909090909091
FastViromeExplorer,44,0.02,812904064,224088,1.0,0.9565217391304348,0.2880640909090909
PhageFilter,44,0.02,420300481,27096,1.0,0.7333333333333333,1.3636363636363635
Kraken2,44,0.02,52974101,27096,1.0,0.9565217391304348,0.8409090909090909
BioBloomTools,44,0.02,559515466,500732,1.0,0.7857142857142857,0.29545454545454547
FastViromeExplorer,44,0.04,807402736,224092,1.0,1.0,0.7917370454545456
PhageFilter,44,0.04,457735297,27096,1.0,0.9166666666666666,3.409090909090909
Kraken2,44,0.04,56680546,27096,1.0,1.0,1.4090909090909092
BioBloomTools,44,0.04,559224645,500728,1.0,0.88,0.9545454545454546
FastViromeExplorer,44,0.06,818179988,224092,1.0,0.9777777777777777,2.2848529545454546
PhageFilter,44,0.06,441160784,27096,1.0,0.7857142857142857,2.159090909090909
Kraken2,44,0.06,53496797,27096,1.0,0.9565217391304348,1.4772727272727273
BioBloomTools,44,0.06,553183302,500728,1.0,0.7719298245614035,0.75
FastViromeExplorer,44,0.08,879738361,224092,1.0,0.9166666666666666,3.9521438636363637
PhageFilter,44,0.08,449178013,27096,1.0,0.8,3.840909090909091
Kraken2,44,0.08,63004692,27096,1.0,0.9361702127659575,2.5681818181818183
BioBloomTools,44,0.08,547568194,500728,1.0,0.7457627118644068,1.8181818181818181
FastViromeExplorer,44,0.1,861220499,224088,1.0,1.0,5.295454318181818
PhageFilter,44,0.1,443481895,27096,1.0,0.8,5.181818181818182
Kraken2,44,0.1,54838833,27096,1.0,1.0,4.068181818181818
BioBloomTools,44,0.1,548897983,500732,1.0,0.7719298245614035,2.727272727272727
FastViromeExplorer,55,0.0,877838980,224088,1.0,0.9821428571428571,0.15206836363636364
PhageFilter,55,0.0,484805873,27100,1.0,0.7857142857142857,2.4363636363636365
Kraken2,55,0.0,61009927,27100,1.0,0.9821428571428571,0.8727272727272727
BioBloomTools,55,0.0,587968759,500728,1.0,0.8088235294117647,0.36363636363636365
FastViromeExplorer,55,0.02,828891698,224096,1.0,0.9821428571428571,0.21619581818181824
PhageFilter,55,0.02,652603886,27100,1.0,0.7971014492753623,1.9272727272727272
Kraken2,55,0.02,60982924,27100,1.0,0.9821428571428571,0.7818181818181819
BioBloomTools,55,0.02,581299821,500732,1.0,0.8333333333333334,0.2909090909090909
FastViromeExplorer,55,0.04,872726417,224096,1.0,1.0,0.8391558181818181
PhageFilter,55,0.04,485578607,27100,1.0,0.8088235294117647,1.3636363636363635
Kraken2,55,0.04,63208451,27100,1.0,0.9821428571428571,0.8545454545454545
BioBloomTools,55,0.04,584156215,500728,1.0,0.7857142857142857,0.6
FastViromeExplorer,55,0.06,836579171,224092,1.0,0.9821428571428571,1.8599759999999999
PhageFilter,55,0.06,524595311,27100,1.0,0.859375,2.581818181818182
Kraken2,55,0.06,57794916,27100,1.0,0.9821428571428571,1.4363636363636363
BioBloomTools,55,0.06,603897496,500728,1.0,0.7746478873239436,1.1454545454545455
FastViromeExplorer,55,0.08,827144286,224092,1.0,1.0,3.116101636363636
PhageFilter,55,0.08,491361443,27100,1.0,0.8461538461538461,2.8545454545454545
Kraken2,55,0.08,54621080,27100,1.0,1.0,2.0727272727272728
BioBloomTools,55,0.08,555195649,500732,1.0,0.8088235294117647,1.490909090909091
