kmer size, theta, error rate, number of genomes, read count, time, memory, recall, precision, avg read count error
15, 0.7, 0.1, 45, 10000, 29061621787, 740192256, 0.7555555555555555, 0.8095238095238095, 215.14705882352942
15, 0.7, 0.1, 55, 10000, 29801842852, 740192256, 0.5636363636363636, 0.8611111111111112, 173.90322580645162
15, 0.7, 0.05, 30, 10000, 30867813701, 740192256, 0.8775510204081632, 0.7962962962962963, 296.13953488372096
15, 0.7, 0.01, 30, 10000, 35663320378, 740192256, 0.39215686274509803, 0.7407407407407407, 874.2
15, 0.7, 0.01, 40, 10000, 34259814834, 740192256, 1.0, 0.8163265306122449, 235.4
15, 0.7, 0.01, 45, 10000, 32719236554, 740192256, 1.0, 0.7894736842105263, 114.93333333333334
15, 0.7, 0.05, 45, 10000, 33605757951, 740192256, 1.0, 0.7894736842105263, 159.93333333333334
15, 0.7, 0.01, 55, 10000, 32375819314, 740192256, 0.6, 0.7857142857142857, 243.5151515151515
15, 0.7, 0.1, 50, 10000, 35671370228, 740192256, 0.72, 0.8181818181818182, 195.27777777777777
15, 0.7, 0.01, 35, 10000, 33188347486, 740192256, 1.0, 0.6862745098039216, 134.28571428571428
15, 0.7, 0.0, 50, 10000, 33805478930, 740192256, 1.0, 0.7936507936507936, 97.68
15, 0.7, 0.05, 35, 10000, 31378065278, 740192256, 1.0, 0.7608695652173914, 208.97142857142856
15, 0.6, 0.05, 50, 10000, 30560604417, 740192256, 0.96, 0.8275862068965517, 93.89583333333333
15, 0.6, 0.0, 45, 10000, 31955462054, 740192256, 1.0, 0.8181818181818182, 231.2
15, 0.6, 0.0, 55, 10000, 33363620159, 740192256, 0.3090909090909091, 0.68, 874.9411764705883
15, 0.6, 0.01, 50, 10000, 32881557653, 740192256, 0.6, 0.75, 306.0
15, 0.6, 0.1, 45, 10000, 30897524917, 740192256, 0.9333333333333333, 0.8076923076923077, 203.76190476190476
15, 0.6, 0.1, 55, 10000, 28782604958, 740192256, 0.7272727272727273, 0.8888888888888888, 163.075
15, 0.6, 0.05, 30, 10000, 30724650115, 740192256, 0.8367346938775511, 0.7884615384615384, 196.390243902439
15, 0.6, 0.01, 30, 10000, 38196147123, 740192256, 0.37254901960784315, 0.7307692307692307, 1335.157894736842
15, 0.6, 0.01, 40, 10000, 37624716980, 740192256, 1.0, 0.8163265306122449, 315.6
15, 0.6, 0.01, 45, 10000, 34180789353, 740192256, 1.0, 0.7894736842105263, 148.57777777777778
15, 0.6, 0.05, 45, 10000, 30319047208, 740192256, 1.0, 0.8035714285714286, 108.13333333333334
15, 0.6, 0.01, 55, 10000, 33405858482, 740192256, 0.4, 0.7096774193548387, 544.5454545454545
15, 0.6, 0.1, 50, 10000, 29329049296, 740192256, 0.9, 0.8035714285714286, 185.3111111111111
15, 0.6, 0.01, 35, 10000, 32816777420, 740192256, 1.0, 0.6862745098039216, 154.17142857142858
15, 0.6, 0.0, 50, 10000, 31818226119, 740192256, 1.0, 0.7936507936507936, 119.44
15, 0.6, 0.05, 35, 10000, 31106901010, 740192256, 1.0, 0.7, 137.31428571428572
15, 0.5, 0.05, 50, 10000, 29817115149, 740192256, 0.78, 0.7959183673469388, 96.3076923076923
15, 0.5, 0.0, 45, 10000, 33079665811, 740192256, 0.28888888888888886, 0.5652173913043478, 924.3076923076923
15, 0.5, 0.0, 55, 10000, 33286425097, 740192256, 0.3090909090909091, 0.68, 1016.8235294117648
