kmer size,theta,error rate,number of genomes,read count,time,memory,classification recall,classification precision,filter recall,filter precision,avg read count error
20,0.8,0.04,33,100000,4664603547,51304,1.0,0.8333333333333334,0.1161,0.9998277643816741,4384.7
20,1.0,0.04,33,100000,4787818714,49104,1.0,0.8333333333333334,0.04772,1.0,4758.7
20,0.0,0.06,33,100000,31579096912,59712,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
20,0.2,0.06,33,100000,6612546395,48360,1.0,0.8333333333333334,0.8029,0.9991289198606271,922.7
20,0.4,0.06,33,100000,5623709523,49684,1.0,0.8333333333333334,0.46478,0.9994838931658854,2485.1
20,0.6,0.06,33,100000,5173792190,51936,1.0,0.8333333333333334,0.18076,0.9996681782988608,4084.2
20,0.8,0.06,33,100000,4580981996,50012,1.0,0.8333333333333334,0.03416,1.0,4829.3
20,1.0,0.06,33,100000,3925291596,46256,1.0,1.0,0.01018,1.0,4949.2
20,0.0,0.08,33,100000,28943076393,61372,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
20,0.2,0.08,33,100000,5431010840,51628,1.0,0.7692307692307693,0.62322,0.9993585837529264,1883.6
20,0.4,0.08,33,100000,5387178155,47072,1.0,0.7692307692307693,0.26664,0.9989509965532744,3667.6
20,0.6,0.08,33,100000,4507904889,46280,1.0,0.9090909090909091,0.07438,0.999731182795699,4628.4
20,0.8,0.08,33,100000,4110663827,43928,1.0,1.0,0.01052,1.0,4947.4
20,1.0,0.08,33,100000,3683561313,45428,1.0,1.0,0.00224,1.0,4988.8
20,0.0,0.1,33,100000,28822482866,61928,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
20,0.2,0.1,33,100000,5678491146,46040,1.0,0.7692307692307693,0.44518,0.999326569094011,2566.0
20,0.4,0.1,33,100000,4953745297,47584,1.0,0.8333333333333334,0.13796,0.9991309385863267,4293.1
20,0.6,0.1,33,100000,4641615587,48412,1.0,0.7692307692307693,0.02888,0.9993079584775086,4854.6
20,0.8,0.1,33,100000,4208131545,48444,1.0,0.8333333333333334,0.00342,1.0,4983.0
20,1.0,0.1,33,100000,3204297966,40716,0.9,1.0,0.00044,1.0,4997.555555555556
25,0.0,0.0,33,100000,29954854996,65960,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
25,0.2,0.0,33,100000,6542096200,51616,1.0,0.7142857142857143,1.0,0.9988413440409125,3.4
25,0.4,0.0,33,100000,6291112085,52572,1.0,0.7692307692307693,1.0,0.999060882770196,3.4
25,0.6,0.0,33,100000,6629201334,51240,1.0,0.9090909090909091,1.0,0.9994403134244823,707.6
25,0.8,0.0,33,100000,6743088016,53312,1.0,1.0,1.0,0.9995601935148535,0.0
25,1.0,0.0,33,100000,7120190448,51244,1.0,1.0,1.0,0.9996201443451489,0.0
25,0.0,0.02,33,100000,29216553598,65516,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
25,0.2,0.02,33,100000,6359898325,57632,1.0,0.7142857142857143,0.9708,0.9991149167404236,144.4
25,0.4,0.02,33,100000,6264785777,51436,1.0,0.7142857142857143,0.85018,0.9991538371136444,748.3
25,0.6,0.02,33,100000,5334579809,65168,1.0,0.8333333333333334,0.67406,0.9994365695984817,1629.7
25,0.8,0.02,33,100000,4997315047,50892,1.0,0.9090909090909091,0.3383,0.9997044917257684,3308.7
